source,source_id,doi,title,abstract,published,authors,venue,record_type,cited_by_count,url
OpenAlex,https://openalex.org/W7203456728,10.5281/zenodo.21929389,"The Impact of Artificial Intelligence on Software Engineering:Productivity, Code Quality, Security, and the Changing Role of Software Engineers","The Impact of Artificial Intelligence on Software Engineering:Productivity, Code Quality, Security, and the Changing Role of Software Engineers Muzaffar AbdukadirovSoftware Engineering · 2026 Abstract Artificial intelligence (AI) coding assistants are changing how software engineers write, review, test, and maintain software. This paper examines the effects of AI-assisted development across four areas: developer productivity, code quality, software security, and the changing responsibilities of software engineers. The study uses a focused literature review of recent empirical studies and industry research, supplemented by practical observations from software development. Existing evidence suggests that AI can substantially reduce effort for some coding tasks, but the magnitude of the benefit depends on task complexity, developer experience, workflow, and the quality of the surrounding engineering system. Research also shows that faster code generation does not necessarily imply better overall software delivery. AI-generated output can require additional verification, testing, security review, and integration work. The paper therefore argues that AI shifts engineering effort from code production toward problem definition, verification, architectural judgment, security assessment, and maintenance. Rather than eliminating software engineering fundamentals, AI increases the value of skills that allow engineers to evaluate and control generated output. Keywords Artificial Intelligence; AI-Assisted Programming; Software Engineering; Developer Productivity; Code Quality; Software Security; Code Review 1. Introduction Artificial intelligence has become an increasingly visible part of modern software development. Coding assistants can generate functions, explain unfamiliar code, suggest tests, produce documentation, analyze errors, and support refactoring. These capabilities have changed the speed at which developers can move from an idea to an initial implementation. However, faster code generation does not automatically mean better software engineering. The central issue is therefore not whether AI can write code, but how AI changes the distribution of engineering work. A recent longitudinal study of professional software engineers reported that participants spent less time on many development activities and described a broader shift from creation toward verification and correction. The researchers characterized this emerging work as supervisory engineering. [1] At the same time, other controlled research has found that AI effects are highly dependent on the development context. For example, an early-2025 randomized study by METR found that experienced open-source developers took longer on the studied tasks when AI tools were available, demonstrating that perceived productivity gains cannot be assumed to apply to every workflow. [2] This paper analyzes the opportunities and risks of AI-assisted software development and argues that the engineer's responsibility remains central. AI can accelerate implementation, but requirements analysis, architecture, validation, security, and accountability still require human judgment. 2. Methodology This paper uses a focused literature-review approach. Recent academic studies, empirical research reports, and industry research concerning AI-assisted software development were examined for evidence related to productivity, developer experience, code quality, security, and engineering practices. Sources were selected for their direct relevance to software development and for providing empirical observations rather than purely speculative commentary. The analysis does not claim to be a systematic review or meta-analysis. Instead, it synthesizes selected recent evidence with practical software-engineering observations to identify recurring patterns and implications for developers and engineering teams. Because AI systems and developer workflows are changing rapidly, findings from individual studies should be interpreted within their specific experimental context rather than generalized to all software development. 3. AI and Developer Productivity AI can create substantial productivity gains for well-defined programming tasks. In a controlled GitHub Copilot experiment involving 95 professional developers, the Copilot group completed the assigned HTTP-server task 55% faster on average and had a higher completion rate than the control group. [3] Such results demonstrate that AI can reduce the time required for certain implementation tasks. However, productivity is not a single measurable property of software engineering. A developer may generate a function quickly while spending additional time understanding, testing, correcting, integrating, or reviewing the result. METR's randomized controlled trial provides an important counterexample: in the early-2025 setting studied, experienced open-source developers using AI took 19% longer on the selected tasks. [2] METR later reported that its subsequent experiment was affected by selection effects and provided weak evidence about the size of current AI speedups. [4] These findings suggest that AI productivity should be evaluated at the level of complete engineering workflows rather than by measuring only the time needed to generate code. Task familiarity, repository complexity, AI-tool quality, developer experience, and the cost of verification can all influence the final outcome. 4. From Writing Code to Directing and Verifying Work As code generation becomes easier, developers increasingly spend time defining problems, providing context, reviewing suggestions, and integrating changes into existing systems. The longitudinal study by Vella and Blincoe found that 82% of participants reported spending less time writing code and identified a broader movement toward verification activities. [1] This shift changes the practical role of the engineer. A developer must understand requirements before prompting an AI system, recognize incorrect assumptions in generated output, and determine whether a proposed implementation fits the architecture. A useful AI response is therefore not the final product; it is an input into an engineering process. 5. Code Quality and Technical Debt AI-generated code can be syntactically correct and functionally plausible while still being unsuitable for production. Problems may include weak test coverage, unnecessary dependencies, duplicated logic, inconsistent architectural patterns, and poor maintainability. Research from METR comparing algorithmic evaluation with manual review found examples in which AI agents produced functionally correct code that was not easy to use as-is because of issues involving tests, formatting, linting, and general code quality. [5] This creates a risk of shallow development: the volume of implementation increases faster than the team's understanding of the system. When developers accept large generated changes without tracing their behavior, they may struggle to reason about failure cases, concurrency, performance, and long-term maintenance. AI should therefore be used with small, reviewable changes and clear engineering constraints. Generated code should be evaluated against the project's architecture and conventions rather than accepted solely because it passes a basic functional test. 6. Security and Privacy Security is one of the areas where human review remains particularly important. AI-generated implementations can contain incorrect security assumptions involving authentication, authorization, input validation, database queries, secrets, file handling, and infrastructure. A 2026 empirical study of 44 developers working with security APIs found that AI assistance improved functional correctness but did not significantly improve secure API usage. The researchers also found that developers frequently did not recognize that their final implementations remained insecure. [6] Earlier qualitative research involving software professionals similarly found widespread use of AI assistants for security-related tasks while emphasizing the need to critically check AI suggestions. [7] Privacy must also be considered before using an AI service. Source code, customer information, credentials, internal architecture, and incident data may be restricted by organizational policy or contractual requirements. Engineers should understand the data-handling rules of the AI service they use and should never expose secrets simply to obtain a convenient answer. 7. Code Review Becomes More Important When code generation becomes cheaper, verification can become a bottleneck. Effective review of AI-assisted code should therefore examine both correctness and context. Reviewers should ask whether the implementation satisfies the actual business requirement, follows the existing architecture, handles invalid input and failure, respects authorization boundaries, and remains maintainable. Automated engineering controls can provide additional protection. Static analysis, type checking, dependency scanning, formatting, unit tests, integration tests, and continuous integration pipelines can identify common problems early. These controls do not replace human judgment, but they can make the verification process more reliable as the volume of generated code increases. 8. Skills That Become More Valuable System design Engineers need to understand service boundaries, data ownership, scalability, reliability, and architectural trade-offs. AI can suggest patterns, but it does not possess the complete historical and organizational context of a system. Debugging Generated code will fail in some situations. Reproduction, observation, hypothesis formation, log analysis, and independent verification remain fundamental engineering skills. Communication Clear requirements and constraints improve results whether the audience is a teammate or an AI assistant. Engineers who communicate precisely can direct",2026-08-14,Abduqodirov Muzaffar,Zenodo (CERN European Organization for Nuclear Research),article,0,https://doi.org/10.5281/zenodo.21929389
OpenAlex,https://openalex.org/W7203457012,10.5281/zenodo.21929388,"The Impact of Artificial Intelligence on Software Engineering:Productivity, Code Quality, Security, and the Changing Role of Software Engineers","The Impact of Artificial Intelligence on Software Engineering:Productivity, Code Quality, Security, and the Changing Role of Software Engineers Muzaffar AbdukadirovSoftware Engineering · 2026 Abstract Artificial intelligence (AI) coding assistants are changing how software engineers write, review, test, and maintain software. This paper examines the effects of AI-assisted development across four areas: developer productivity, code quality, software security, and the changing responsibilities of software engineers. The study uses a focused literature review of recent empirical studies and industry research, supplemented by practical observations from software development. Existing evidence suggests that AI can substantially reduce effort for some coding tasks, but the magnitude of the benefit depends on task complexity, developer experience, workflow, and the quality of the surrounding engineering system. Research also shows that faster code generation does not necessarily imply better overall software delivery. AI-generated output can require additional verification, testing, security review, and integration work. The paper therefore argues that AI shifts engineering effort from code production toward problem definition, verification, architectural judgment, security assessment, and maintenance. Rather than eliminating software engineering fundamentals, AI increases the value of skills that allow engineers to evaluate and control generated output. Keywords Artificial Intelligence; AI-Assisted Programming; Software Engineering; Developer Productivity; Code Quality; Software Security; Code Review 1. Introduction Artificial intelligence has become an increasingly visible part of modern software development. Coding assistants can generate functions, explain unfamiliar code, suggest tests, produce documentation, analyze errors, and support refactoring. These capabilities have changed the speed at which developers can move from an idea to an initial implementation. However, faster code generation does not automatically mean better software engineering. The central issue is therefore not whether AI can write code, but how AI changes the distribution of engineering work. A recent longitudinal study of professional software engineers reported that participants spent less time on many development activities and described a broader shift from creation toward verification and correction. The researchers characterized this emerging work as supervisory engineering. [1] At the same time, other controlled research has found that AI effects are highly dependent on the development context. For example, an early-2025 randomized study by METR found that experienced open-source developers took longer on the studied tasks when AI tools were available, demonstrating that perceived productivity gains cannot be assumed to apply to every workflow. [2] This paper analyzes the opportunities and risks of AI-assisted software development and argues that the engineer's responsibility remains central. AI can accelerate implementation, but requirements analysis, architecture, validation, security, and accountability still require human judgment. 2. Methodology This paper uses a focused literature-review approach. Recent academic studies, empirical research reports, and industry research concerning AI-assisted software development were examined for evidence related to productivity, developer experience, code quality, security, and engineering practices. Sources were selected for their direct relevance to software development and for providing empirical observations rather than purely speculative commentary. The analysis does not claim to be a systematic review or meta-analysis. Instead, it synthesizes selected recent evidence with practical software-engineering observations to identify recurring patterns and implications for developers and engineering teams. Because AI systems and developer workflows are changing rapidly, findings from individual studies should be interpreted within their specific experimental context rather than generalized to all software development. 3. AI and Developer Productivity AI can create substantial productivity gains for well-defined programming tasks. In a controlled GitHub Copilot experiment involving 95 professional developers, the Copilot group completed the assigned HTTP-server task 55% faster on average and had a higher completion rate than the control group. [3] Such results demonstrate that AI can reduce the time required for certain implementation tasks. However, productivity is not a single measurable property of software engineering. A developer may generate a function quickly while spending additional time understanding, testing, correcting, integrating, or reviewing the result. METR's randomized controlled trial provides an important counterexample: in the early-2025 setting studied, experienced open-source developers using AI took 19% longer on the selected tasks. [2] METR later reported that its subsequent experiment was affected by selection effects and provided weak evidence about the size of current AI speedups. [4] These findings suggest that AI productivity should be evaluated at the level of complete engineering workflows rather than by measuring only the time needed to generate code. Task familiarity, repository complexity, AI-tool quality, developer experience, and the cost of verification can all influence the final outcome. 4. From Writing Code to Directing and Verifying Work As code generation becomes easier, developers increasingly spend time defining problems, providing context, reviewing suggestions, and integrating changes into existing systems. The longitudinal study by Vella and Blincoe found that 82% of participants reported spending less time writing code and identified a broader movement toward verification activities. [1] This shift changes the practical role of the engineer. A developer must understand requirements before prompting an AI system, recognize incorrect assumptions in generated output, and determine whether a proposed implementation fits the architecture. A useful AI response is therefore not the final product; it is an input into an engineering process. 5. Code Quality and Technical Debt AI-generated code can be syntactically correct and functionally plausible while still being unsuitable for production. Problems may include weak test coverage, unnecessary dependencies, duplicated logic, inconsistent architectural patterns, and poor maintainability. Research from METR comparing algorithmic evaluation with manual review found examples in which AI agents produced functionally correct code that was not easy to use as-is because of issues involving tests, formatting, linting, and general code quality. [5] This creates a risk of shallow development: the volume of implementation increases faster than the team's understanding of the system. When developers accept large generated changes without tracing their behavior, they may struggle to reason about failure cases, concurrency, performance, and long-term maintenance. AI should therefore be used with small, reviewable changes and clear engineering constraints. Generated code should be evaluated against the project's architecture and conventions rather than accepted solely because it passes a basic functional test. 6. Security and Privacy Security is one of the areas where human review remains particularly important. AI-generated implementations can contain incorrect security assumptions involving authentication, authorization, input validation, database queries, secrets, file handling, and infrastructure. A 2026 empirical study of 44 developers working with security APIs found that AI assistance improved functional correctness but did not significantly improve secure API usage. The researchers also found that developers frequently did not recognize that their final implementations remained insecure. [6] Earlier qualitative research involving software professionals similarly found widespread use of AI assistants for security-related tasks while emphasizing the need to critically check AI suggestions. [7] Privacy must also be considered before using an AI service. Source code, customer information, credentials, internal architecture, and incident data may be restricted by organizational policy or contractual requirements. Engineers should understand the data-handling rules of the AI service they use and should never expose secrets simply to obtain a convenient answer. 7. Code Review Becomes More Important When code generation becomes cheaper, verification can become a bottleneck. Effective review of AI-assisted code should therefore examine both correctness and context. Reviewers should ask whether the implementation satisfies the actual business requirement, follows the existing architecture, handles invalid input and failure, respects authorization boundaries, and remains maintainable. Automated engineering controls can provide additional protection. Static analysis, type checking, dependency scanning, formatting, unit tests, integration tests, and continuous integration pipelines can identify common problems early. These controls do not replace human judgment, but they can make the verification process more reliable as the volume of generated code increases. 8. Skills That Become More Valuable System design Engineers need to understand service boundaries, data ownership, scalability, reliability, and architectural trade-offs. AI can suggest patterns, but it does not possess the complete historical and organizational context of a system. Debugging Generated code will fail in some situations. Reproduction, observation, hypothesis formation, log analysis, and independent verification remain fundamental engineering skills. Communication Clear requirements and constraints improve results whether the audience is a teammate or an AI assistant. Engineers who communicate precisely can direct",2026-08-14,Abduqodirov Muzaffar,Zenodo (CERN European Organization for Nuclear Research),article,0,https://doi.org/10.5281/zenodo.21929388
OpenAlex,https://openalex.org/W7202274207,10.5281/zenodo.21902420,From the SCR Relationship to Search Space Governance: A Foundational Analytical Framework for Delivery Reliability in AI Software Engineering,"Generative AI can already produce code and functionality at low cost, yet the reliable delivery of complex software still depends on continuously managing task constraints, component dependencies, change impacts, and validation feedback. This paper examines the complete AI development system, comprising large language models, development agents, tools, execution environments, validation feedback, and multi-round iteration, and takes the task session—from task acceptance to completed delivery, termination, or further decomposition—as the unit of analysis. On this basis, the paper defines Search Space (S), Coverage Capability (C), and Delivery Reliability (R), and proposes the Search Space–Coverage Capability–Delivery Reliability Relationship (SCR) as a foundational framework for analyzing AI software delivery. Delivery Reliability (R) describes whether a specific AI development result can be trusted as a completed delivery. It is neither equivalent to correctness under known criteria nor to the statistical success rate across repeated tasks. Within the SCR framework, the match between Coverage Capability (C) and Search Space (S) constitutes a foundational constraint on Delivery Reliability (R); when other key conditions are comparable, a more adequate match generally makes a specific delivery more likely to reach a state that can be trusted. This yields two basic intervention directions: expanding Coverage Capability (C), or adjusting Search Space (S). This relationship is definitional within the framework rather than a fully operationalized, self-contained quantitative formula, and it does not assume that Search Space (S) and Coverage Capability (C) can be reduced to single scalar values. This paper focuses on the latter direction and defines Search Space Governance as the engineering process of continuously adjusting task boundaries and the engineering environment to bring Search Space (S) within the range that the current Coverage Capability (C) can consistently handle. Although Search Space (S) is difficult to measure on an absolute scale, it is often possible to assess how local engineering changes alter the scope, structure, distinguishability among candidate paths, and validation conditions that typical subsequent tasks must handle, and to calibrate those assessments progressively through task trajectories and delivery outcomes. Because AI-generated code also becomes part of the engineering environment for subsequent tasks, Search Space Governance must continue throughout project evolution. In large, long-lived AI software projects, feature generation reflects how many direct outputs a project produces, whereas long-term engineering governance affects whether those outputs can continue to be understood, modified, and validated by subsequent tasks. The SCR relationship therefore provides a common structure for describing search space, system capability, and delivery outcomes; Search Space Governance identifies what can be directly acted upon through engineering; and the analysis of long-term projects further shows that engineering progress also depends on whether current results can be carried forward consistently into subsequent work. Together, these elements explain both the continuity and the change between traditional software engineering and AI software engineering, and provide a foundational analytical framework for engineering theory, system implementation, and subsequent evidence-based research in the AI era.",2026-08-13,明 刘,Zenodo (CERN European Organization for Nuclear Research),article,0,https://doi.org/10.5281/zenodo.21902420
OpenAlex,https://openalex.org/W7202357189,10.5281/zenodo.21917081,From the SCR Relationship to Search Space Governance: A Foundational Analytical Framework for Delivery Reliability in AI Software Engineering,"Generative AI can already produce code and functionality at low cost, yet the reliable delivery of complex software still depends on continuously managing task constraints, component dependencies, change impacts, and validation feedback. This paper examines the complete AI development system, comprising large language models, development agents, tools, execution environments, validation feedback, and multi-round iteration, and takes the task session—from task acceptance to completed delivery, termination, or further decomposition—as the unit of analysis. On this basis, the paper defines Search Space (S), Coverage Capability (C), and Delivery Reliability (R), and proposes the Search Space–Coverage Capability–Delivery Reliability Relationship (SCR) as a foundational framework for analyzing AI software delivery. Delivery Reliability (R) describes whether a specific AI development result can be trusted as a completed delivery. It is neither equivalent to correctness under known criteria nor to the statistical success rate across repeated tasks. Within the SCR framework, the match between Coverage Capability (C) and Search Space (S) constitutes a foundational constraint on Delivery Reliability (R); when other key conditions are comparable, a more adequate match generally makes a specific delivery more likely to reach a state that can be trusted. This yields two basic intervention directions: expanding Coverage Capability (C), or adjusting Search Space (S). This relationship is definitional within the framework rather than a fully operationalized, self-contained quantitative formula, and it does not assume that Search Space (S) and Coverage Capability (C) can be reduced to single scalar values. This paper focuses on the latter direction and defines Search Space Governance as the engineering process of continuously adjusting task boundaries and the engineering environment to bring Search Space (S) within the range that the current Coverage Capability (C) can consistently handle. Although Search Space (S) is difficult to measure on an absolute scale, it is often possible to assess how local engineering changes alter the scope, structure, distinguishability among candidate paths, and validation conditions that typical subsequent tasks must handle, and to calibrate those assessments progressively through task trajectories and delivery outcomes. Because AI-generated code also becomes part of the engineering environment for subsequent tasks, Search Space Governance must continue throughout project evolution. In large, long-lived AI software projects, feature generation reflects how many direct outputs a project produces, whereas long-term engineering governance affects whether those outputs can continue to be understood, modified, and validated by subsequent tasks. The SCR relationship therefore provides a common structure for describing search space, system capability, and delivery outcomes; Search Space Governance identifies what can be directly acted upon through engineering; and the analysis of long-term projects further shows that engineering progress also depends on whether current results can be carried forward consistently into subsequent work. Together, these elements explain both the continuity and the change between traditional software engineering and AI software engineering, and provide a foundational analytical framework for engineering theory, system implementation, and subsequent evidence-based research in the AI era.",2026-08-13,明 刘,Zenodo (CERN European Organization for Nuclear Research),article,0,https://doi.org/10.5281/zenodo.21917081
OpenAlex,https://openalex.org/W7202262474,10.5281/zenodo.21903433,AI in Development: Risks and the Threat of Cognitive Atrophy,"This position paper examines the cognitive workflow shift in software engineering resulting from widespread adoption of AI-assisted development tools and generative large language models. Synthesizing insights from cognitive load theory, schema acquisition, and deliberate practice, the paper outlines how transitioning from active code construction to passive validation introduces the risk of cognitive atrophy across novice and experienced engineers. It introduces a conceptual framework mapping the trade-offs between immediate developer velocity and long term skill retention, concluding with actionable recommendations to embed ""desirable difficulty"" into AI-augmented engineering workflows. Note: This manuscript is currently under peer review at IEEE Software.",2026-08-12,Joshua Hernandez,Zenodo (CERN European Organization for Nuclear Research),preprint,0,https://doi.org/10.5281/zenodo.21903433
OpenAlex,https://openalex.org/W7202292902,10.5281/zenodo.21903434,AI in Development: Risks and the Threat of Cognitive Atrophy,"This position paper examines the cognitive workflow shift in software engineering resulting from widespread adoption of AI-assisted development tools and generative large language models. Synthesizing insights from cognitive load theory, schema acquisition, and deliberate practice, the paper outlines how transitioning from active code construction to passive validation introduces the risk of cognitive atrophy across novice and experienced engineers. It introduces a conceptual framework mapping the trade-offs between immediate developer velocity and long term skill retention, concluding with actionable recommendations to embed ""desirable difficulty"" into AI-augmented engineering workflows. Note: This manuscript is currently under peer review at IEEE Software.",2026-08-12,Joshua Hernandez,Zenodo (CERN European Organization for Nuclear Research),preprint,0,https://doi.org/10.5281/zenodo.21903434
OpenAlex,https://openalex.org/W7196965855,10.1007/s10664-026-10917-0,"LLMs’ reshaping of people, processes, products, and society in software development: a qualitative exploration with early adopters","Abstract Large language models (LLMs) are rapidly reshaping software development, but their impact across the full software development lifecycle is underexplored. Existing work tends to focus on isolated activities such as code generation or testing, leaving open questions about how LLMs affect developers, processes, products, and the broader software ecosystem. We address this gap through semi-structured interviews with sixteen early-adopter software professionals who integrated LLM-based tools into their day-to-day work in early to mid-2023. We treat these interviews as early empirical evidence and compare participants’ accounts with recent work on LLMs in software engineering, noting which early patterns persist or shift. Using thematic analysis, we organize our findings around four dimensions: people, process, product, and society. Developers reported substantial productivity gains from reducing mundane tasks, streamlining search, and accelerating debugging, but also described a productivity-quality paradox: they frequently discarded generated code and shifted effort from writing code to critically evaluating and integrating it. LLM use was highly phase-dependent, with strong uptake in implementation and debugging but limited influence on requirements gathering and collaborative work. Participants developed new competencies to use LLMs effectively, including prompt engineering strategies, multi-layered verification, and security-conscious integration to protect proprietary data. They also anticipated changes in hiring expectations, team practices, and computing education, while emphasizing that human judgment and foundational software engineering skills remain essential. Our findings, consistent with evidence from large-scale studies, offer actionable implications for developers, organizations, educators, and tool designers seeking to integrate LLMs responsibly into professional software practice.",2026-08-07,Benyamin T. Tabarsi; Heidi Reichert; Stephen D. Gilson; Ally Limke; Sandeep Kaur Kuttal; Tiffany Barnes,Empirical Software Engineering,article,0,https://doi.org/10.1007/s10664-026-10917-0
OpenAlex,https://openalex.org/W7202038600,10.36948/ijfmr.2026.v08i04.85314,Assessing the Impact of Ai Vibe Coding on Reviewing and Debugging Ai-generated Code,"The software engineering landscape is undergoing a radical transition from manual syntax craftsmanship to ""Vibe Coding""a paradigm defined by prompt-driven, intent-based software generation. This research quantifies the impact of this shift on the software development lifecycle (SDLC), specifically evaluating the efficacy of code review and debugging. Utilizing a diagnostic pipeline with a 50-developer cohort, this study compares traditional Integrated Development Environment (IDE) workflows against AI-assisted ""vibe"" workflows (utilizing GitHub Copilot and ChatGPT). Our findings demonstrate a profound ""Time Displacement Penalty."" While initial development velocity approaches zero, severe debugging penalties and elevated bug escape rates in complex systems fundamentally offset these early gains. We identify a ""Cognitive Void"" wherein developers exhibit high speed and syntax correctness but suffer from a measurable detachment from system architecture and forensic comprehension. This detachment facilitates ""Automation Bias"" during peer reviews, where the aesthetic perfection of AI-generated syntax masks deep, hallucinated logic failures. The study concludes that while Vibe Coding is optimal for isolated prototyping, it introduces systemic risks in mission-critical architecture. The data mandates a pivot in software engineering pedagogy from syntax authorship to rigorous forensic curation and adversarial auditing.",2026-08-07,Prateek Sharma Kharel; Suman Thapalia,International Journal For Multidisciplinary Research,article,0,https://doi.org/10.36948/ijfmr.2026.v08i04.85314
OpenAlex,https://openalex.org/W7196941288,10.5281/zenodo.21829159,"Four Platforms, One Standard: A Multi-AI Verification Methodology for GPS-Compliant Genealogical Research","This article reports on a multi-platform AI research methodology developed and applied across more than eighty documented research sessions during a sustained genealogical project: the English ancestry of Abigail (Ruck) Thomas of Boston, traced through the Tudor clothier and gentry families of Cranbrook, Kent, c.1460&ndash;1620. Four commercial AI platforms &mdash; Claude (Opus, with the Cowork agentic environment and Claude Code for tool construction), ChatGPT Pro, Perplexity Pro (academic and Deep Research search modes), and SuperGrok &mdash; were assigned differentiated roles across the research pipeline under a single invariant rule: <strong>no platform verifies its own output</strong>. That rule is separation of duties, carried over from software development lifecycle governance in regulated industries &mdash; where the developer does not sign off on their own code, and the team that prepares the statements does not audit them &mdash; and applied here to AI-assisted research. The methodology rests on two pillars: <em>platform specialization</em>, which assigns research tasks to the platform best suited to each role, and <em>cross-platform verification</em>, which checks findings across platforms whose models, training data, and architectures differ. Each of the five elements of the Genealogical Proof Standard (GPS) is mapped to observed AI capabilities, observed failure modes, and the specific mitigations adopted. Three cases are documented in detail from the project's error log: <ul><li><strong>A full disproof.</strong> An original identification supported by primary sources and independently confirmed by three separately trained platforms at 8/10 confidence was reduced to 1&ndash;2/10 after cross-platform search surfaced a competing candidate in the parishes named in the disputed record. The family was subsequently reconstructed across fifteen archival records spanning 1305 to 1603. Three platforms agreeing is not verification if all three were asked the same wrongly framed question.</li><li><strong>A generational error caught before it propagated into interpretation</strong>, together with a critical probate record that four platforms failed to locate because all four searched the wrong jurisdiction &mdash; recovered through the researcher's knowledge that middling-sort estates were proved in diocesan rather than national courts.</li><li><strong>A correction article</strong> moved from three submission-blocking errors to a 9/10 independent audit score within a single working session.</li></ul> The methodology produced seven publication-track deliverables spanning genealogical proof, regional history, social history, heraldic research, and archival automation. It also produced working tooling: a four-pipeline OCR/HTR utility with confidence-based escalation, local context injection, and an auditable record of which engine produced each reading &mdash; built by the researcher, without formal software engineering training, using agentic coding assistance. Empirical grounding is drawn from published work on self-correction blind spots, diverse-model evaluation panels, and citation fabrication rates. The methodology is designed for graduated adoption and is tool-, topic-, and standards-agnostic in principle; it aligns with the CRAIGEN Guiding Principles for Responsible AI in Genealogy. It originated in the author's application of enterprise IT governance disciplines, developed over twenty years in regulated financial services and insurance, to the problem of AI-assisted research. The methodology is reported as practiced, including its failures. The framing was first stated publicly by the author in April 2026 at ruddresearch.com; this preprint provides the full documented framework. A revised and expanded version is in preparation for submission to a peer-reviewed journal. <strong>Disclosure of AI use:</strong> AI tools assisted with source discovery, machine-assisted analysis of archival catalogue data, drafting of text under author direction, and copy-editing. Substantial portions of the prose were AI-generated under the author's direction and subsequently reviewed and revised by the author. All research design, source verification, and final inferential judgments are the author's own, and every citation was verified by the author against the original record. The author takes full responsibility for the content and any remaining errors.",2026-08-06,Richard E. Rudd,Open MIND,article,0,https://ruddresearch.com/
OpenAlex,https://openalex.org/W7196956693,10.5281/zenodo.21829448,"Four Platforms, One Standard: A Multi-AI Verification Methodology for GPS-Compliant Genealogical Research","This article reports on a multi-platform AI research methodology developed and applied across more than eighty documented research sessions during a sustained genealogical project: the English ancestry of Abigail (Ruck) Thomas of Boston, traced through the Tudor clothier and gentry families of Cranbrook, Kent, c.1460&ndash;1620. Four commercial AI platforms &mdash; Claude (Opus, with the Cowork agentic environment and Claude Code for tool construction), ChatGPT Pro, Perplexity Pro (academic and Deep Research search modes), and SuperGrok &mdash; were assigned differentiated roles across the research pipeline under a single invariant rule: <strong>no platform verifies its own output</strong>. That rule is separation of duties, carried over from software development lifecycle governance in regulated industries &mdash; where the developer does not sign off on their own code, and the team that prepares the statements does not audit them &mdash; and applied here to AI-assisted research. The methodology rests on two pillars: <em>platform specialization</em>, which assigns research tasks to the platform best suited to each role, and <em>cross-platform verification</em>, which checks findings across platforms whose models, training data, and architectures differ. Each of the five elements of the Genealogical Proof Standard (GPS) is mapped to observed AI capabilities, observed failure modes, and the specific mitigations adopted. Three cases are documented in detail from the project's error log: <ul><li><strong>A full disproof.</strong> An original identification supported by primary sources and independently confirmed by three separately trained platforms at 8/10 confidence was reduced to 1&ndash;2/10 after cross-platform search surfaced a competing candidate in the parishes named in the disputed record. The family was subsequently reconstructed across fifteen archival records spanning 1305 to 1603. Three platforms agreeing is not verification if all three were asked the same wrongly framed question.</li><li><strong>A generational error caught before it propagated into interpretation</strong>, together with a critical probate record that four platforms failed to locate because all four searched the wrong jurisdiction &mdash; recovered through the researcher's knowledge that middling-sort estates were proved in diocesan rather than national courts.</li><li><strong>A correction article</strong> moved from three submission-blocking errors to a 9/10 independent audit score within a single working session.</li></ul> The methodology produced seven publication-track deliverables spanning genealogical proof, regional history, social history, heraldic research, and archival automation. It also produced working tooling: a four-pipeline OCR/HTR utility with confidence-based escalation, local context injection, and an auditable record of which engine produced each reading &mdash; built by the researcher, without formal software engineering training, using agentic coding assistance. Empirical grounding is drawn from published work on self-correction blind spots, diverse-model evaluation panels, and citation fabrication rates. The methodology is designed for graduated adoption and is tool-, topic-, and standards-agnostic in principle; it aligns with the CRAIGEN Guiding Principles for Responsible AI in Genealogy. It originated in the author's application of enterprise IT governance disciplines, developed over twenty years in regulated financial services and insurance, to the problem of AI-assisted research. The methodology is reported as practiced, including its failures. The framing was first stated publicly by the author in April 2026 at ruddresearch.com; this preprint provides the full documented framework. A revised and expanded version is in preparation for submission to a peer-reviewed journal. <strong>Disclosure of AI use:</strong> AI tools assisted with source discovery, machine-assisted analysis of archival catalogue data, drafting of text under author direction, and copy-editing. Substantial portions of the prose were AI-generated under the author's direction and subsequently reviewed and revised by the author. All research design, source verification, and final inferential judgments are the author's own, and every citation was verified by the author against the original record. The author takes full responsibility for the content and any remaining errors.",2026-08-06,Richard E. Rudd,Zenodo (CERN European Organization for Nuclear Research),article,0,https://doi.org/10.5281/zenodo.21829448
