source,source_id,doi,title,abstract,published,authors,venue,record_type,cited_by_count,url
OpenAlex,https://openalex.org/W4386081573,10.48550/arxiv.2308.10620,Large Language Models for Software Engineering: A Systematic Literature Review,"Large Language Models (LLMs) have significantly impacted numerous domains, including Software Engineering (SE). Many recent publications have explored LLMs applied to various SE tasks. Nevertheless, a comprehensive understanding of the application, effects, and possible limitations of LLMs on SE is still in its early stages. To bridge this gap, we conducted a systematic literature review (SLR) on LLM4SE, with a particular focus on understanding how LLMs can be exploited to optimize processes and outcomes. We select and analyze 395 research papers from January 2017 to January 2024 to answer four key research questions (RQs). In RQ1, we categorize different LLMs that have been employed in SE tasks, characterizing their distinctive features and uses. In RQ2, we analyze the methods used in data collection, preprocessing, and application, highlighting the role of well-curated datasets for successful LLM for SE implementation. RQ3 investigates the strategies employed to optimize and evaluate the performance of LLMs in SE. Finally, RQ4 examines the specific SE tasks where LLMs have shown success to date, illustrating their practical contributions to the field. From the answers to these RQs, we discuss the current state-of-the-art and trends, identifying gaps in existing research, and flagging promising areas for future study. Our artifacts are publicly available at https://github.com/xinyi-hou/LLM4SE_SLR.",2023-08-21,Xinyi Hou; Yanjie Zhao; Yue Liu; Yang Zhou; Kailong Wang; Li Li; Xiapu Luo; David Lo; John Grundy; Haoyu Wang,arXiv (Cornell University),review,116,http://arxiv.org/abs/2308.10620
OpenAlex,https://openalex.org/W4366989878,10.37074/jalt.2023.6.1.23,"War of the chatbots: Bard, Bing Chat, ChatGPT, Ernie and beyond. The new AI gold rush and its impact on higher education","Developments in the chatbot space have been accelerating at breakneck speed since late November 2022. Every day, there appears to be a plethora of news. A war of competitor chatbots is raging amidst an AI arms race and gold rush. These rapid developments impact higher education, as millions of students and academics have started using bots like ChatGPT, Bing Chat, Bard, Ernie and others for a large variety of purposes. In this article, we select some of the most promising chatbots in the English and Chinese-language spaces and provide their corporate backgrounds and brief histories. Following an up-to-date review of the Chinese and English-language academic literature, we describe our comparative method and systematically compare selected chatbots across a multi-disciplinary test relevant to higher education. The results of our test show that there are currently no A-students and no B-students in this bot cohort, despite all publicised and sensationalist claims to the contrary. The much-vaunted AI is not yet that intelligent, it would appear. GPT-4 and its predecessor did best, whilst Bing Chat and Bard were akin to at-risk students with F-grade averages. We conclude our article with four types of recommendations for key stakeholders in higher education: (1) faculty in terms of assessment and (2) teaching &amp; learning, (3) students and (4) higher education institutions.",2023-04-24,Jürgen Rudolph; Shannon Tan; Samson Tan,Journal of Applied Learning & Teaching,article,412,https://doi.org/10.37074/jalt.2023.6.1.23
OpenAlex,https://openalex.org/W4392120599,10.1145/3613904.3642013,Multimodal Healthcare AI: Identifying and Designing Clinically Relevant Vision-Language Applications for Radiology,"Recent advances in AI combine large language models (LLMs) with vision encoders that bring forward unprecedented technical capabilities to leverage for a wide range of healthcare applications. Focusing on the domain of radiology, vision-language models (VLMs) achieve good performance results for tasks such as generating radiology findings based on a patient’s medical image, or answering visual questions (e.g., “Where are the nodules in this chest X-ray?”). However, the clinical utility of potential applications of these capabilities is currently underexplored. We engaged in an iterative, multidisciplinary design process to envision clinically relevant VLM interactions, and co-designed four VLM use concepts: Draft Report Generation, Augmented Report Review, Visual Search and Querying, and Patient Imaging History Highlights. We studied these concepts with 13 radiologists and clinicians who assessed the VLM concepts as valuable, yet articulated many design considerations. Reflecting on our findings, we discuss implications for integrating VLM capabilities in radiology, and for healthcare AI more generally.",2024-05-11,Nur Yildirim; Hannah Richardson; Maria Teodora Wetscherek; Junaid Bajwa; Joseph Jacob; Mark A. Pinnock; Steve Harris; Daniel C. Castro; Shruthi Bannur; Stephanie L. Hyland; Pratik Ghosh; Mercy Ranjit; Kenza Bouzid; Anton Schwaighofer; Fernando Pérez‐García; Harshita Sharma; Ozan Oktay; Matthew P. Lungren; Javier Alvarez-Valle; Aditya Nori; Anja Thieme,,conference-paper,76,https://doi.org/10.1145/3613904.3642013
OpenAlex,https://openalex.org/W4284697050,10.1145/3510003.3512765,Bots for pull requests,"Software bots automate tasks within Open Source Software (OSS) projects' pull requests and save reviewing time and effort (""the good""). However, their interactions can be disruptive and noisy and lead to information overload (""the bad""). To identify strategies to overcome such problems, we applied Design Fiction as a participatory method with 32 practitioners. We elicited 22 design strategies for a bot mediator or the pull request user interface (""the promising""). Participants envisioned a separate place in the pull request interface for bot interactions and a bot mediator that can summarize and customize other bots' actions to mitigate noise. We also collected participants' perceptions about a prototype implementing the envisioned strategies. Our design strategies can guide the development of future bots and social coding platforms.",2022-05-21,Mairieli Wessel; Ahmad Abdellatif; Igor Wiese; Tayana Conte; Emad Shihab; Marco Aurélio Gerosa; Igor Steinmacher,Proceedings of the 44th International Conference on Software Engineering,conference-paper,25,https://doi.org/10.1145/3510003.3512765
OpenAlex,https://openalex.org/W2947753203,10.1186/s13673-019-0183-8,Trust-based recommendation systems in Internet of Things: a systematic literature review,"Abstract Internet of Things (IoT) creates a world where smart objects and services interacting autonomously. Taking into account the dynamic-heterogeneous characteristic of interconnected devices in IoT, demand for a trust model to guarantee security, authentication, authorization, and confidentiality of connected things, regardless of their functionality, is imperative. However, as far as we know, against the centrality of trust-based recommendation mechanisms in the IoT environment, there is no ambient study for investigating its techniques. In this paper, we present a systematic literature review (SLR) of trust based IoT recommendation techniques so far. Detailed classifications based on extracted parameters as well as investigation existing techniques in three different IoT layers put forth. Moreover, the advantages, disadvantages and open issues of each approach are introduced that can expand more frontier in obtaining accurate IoT recommendation in the future.",2019-06-02,Venus Mohammadi; Amir Masoud Rahmani; Aso Mohammed Darwesh; Amir Sahafi,Human-centric Computing and Information Sciences,review,184,https://doi.org/10.1186/s13673-019-0183-8
OpenAlex,https://openalex.org/W4362655490,10.48550/arxiv.2304.01420,Scientists' Perspectives on the Potential for Generative AI in their Fields,"Generative AI models, including large language models and multimodal models that include text and other media, are on the cusp of transforming many aspects of modern life, including entertainment, education, civic life, the arts, and a range of professions. There is potential for Generative AI to have a substantive impact on the methods and pace of discovery for a range of scientific disciplines. We interviewed twenty scientists from a range of fields (including the physical, life, and social sciences) to gain insight into whether or how Generative AI technologies might add value to the practice of their respective disciplines, including not only ways in which AI might accelerate scientific discovery (i.e., research), but also other aspects of their profession, including the education of future scholars and the communication of scientific findings. In addition to identifying opportunities for Generative AI to augment scientists' current practices, we also asked participants to reflect on concerns about AI. These findings can help guide the responsible development of models and interfaces for scientific education, inquiry, and communication.",2023-04-04,Meredith Ringel Morris,arXiv (Cornell University),preprint,29,http://arxiv.org/abs/2304.01420
OpenAlex,https://openalex.org/W4401109317,10.1007/s10664-024-10523-y,Dependabot and security pull requests: large empirical study,"Modern software development is a complex engineering process where developer code cohabits with an increasingly larger number of external open-source components. Even though these components facilitate sharing and reusing code along with other benefits related to maintenance and code quality, they are often the seeds of vulnerabilities in the software supply chain leading to attacks with severe consequences. Indeed, one common strategy used to conduct attacks is to exploit or inject other security flaws in new versions of dependency packages. It is thus important to keep dependencies updated in a software development project. Unfortunately, several prior studies have highlighted that, to a large extent, developers struggle to keep track of the dependency package updates, and do not quickly incorporate security patches. Therefore, automated dependency-update bots have been proposed to mitigate the impact and the emergence of vulnerabilities in open-source projects. In our study, we focus on Dependabot, a dependency management bot that has gained popularity on GitHub recently. It allows developers to keep a lookout on project dependencies and reduce the effort of monitoring the safety of the software supply chain. We performed a large empirical study on dependency updates and security pull requests to understand: (1) the degree and reasons of Dependabot’s popularity; (2) the patterns of developers’ practices and techniques to deal with vulnerabilities in dependencies; (3) the management of security pull requests (PRs), the threat lifetime, and the fix delay; and (4) the factors that significantly correlate with the acceptance of security PRs and fast merges. To that end, we collected a dataset of 9,916,318 pull request-related issues made in 1,743,035 projects on GitHub for more than 10 different programming languages. In addition to the comprehensive quantitative analysis, we performed a manual qualitative analysis on a representative sample of the dataset, and we substantiated our findings by sending a survey to developers that use dependency management tools. Our study shows that Dependabot dominates more than 65% of dependency management activity, mainly due to its efficiency, accessibility, adaptivity, and availability of support. We also found that developers handle dependency vulnerabilities differently, but mainly rely on the automation of PRs generation to upgrade vulnerable dependencies. Interestingly, Dependabot’s and developers’ security PRs are highly accepted, and the automation allows to accelerate their management, so that fixes are applied in less than one day. However, the threat of dependency vulnerabilities remains hidden for 512 days on average, and patches are disclosed after 362 days due to the reliance on the manual effort of security experts. Also, project characteristics, the amount of PR changes, as well as developer and dependency features seem to be highly correlated with the acceptance and fast merges of security PRs.",2024-07-30,Hocine Rebatchi; Tegawendé F. Bissyandé; Naouel Moha,Empirical Software Engineering,article,6,https://doi.org/10.1007/s10664-024-10523-y
OpenAlex,https://openalex.org/W4415270339,10.48550/arxiv.2510.12399,A Survey of Vibe Coding with Large Language Models,"The advancement of large language models (LLMs) has catalyzed a paradigm shift from code generation assistance to autonomous coding agents, enabling a novel development methodology termed ""Vibe Coding"" where developers validate AI-generated implementations through outcome observation rather than line-by-line code comprehension. Despite its transformative potential, the effectiveness of this emergent paradigm remains under-explored, with empirical evidence revealing unexpected productivity losses and fundamental challenges in human-AI collaboration. To address this gap, this survey provides the first comprehensive and systematic review of Vibe Coding with large language models, establishing both theoretical foundations and practical frameworks for this transformative development approach. Drawing from systematic analysis of over 1000 research papers, we survey the entire vibe coding ecosystem, examining critical infrastructure components including LLMs for coding, LLM-based coding agent, development environment of coding agent, and feedback mechanisms. We first introduce Vibe Coding as a formal discipline by formalizing it through a Constrained Markov Decision Process that captures the dynamic triadic relationship among human developers, software projects, and coding agents. Building upon this theoretical foundation, we then synthesize existing practices into five distinct development models: Unconstrained Automation, Iterative Conversational Collaboration, Planning-Driven, Test-Driven, and Context-Enhanced Models, thus providing the first comprehensive taxonomy in this domain. Critically, our analysis reveals that successful Vibe Coding depends not merely on agent capabilities but on systematic context engineering, well-established development environments, and human-agent collaborative development models.",2025-10-14,"Y.T. Ge; Lingrui Mei; Duan, Zenghao; Tianhao Li; Yujia Zheng; Yiwei Wang; Lexin Wang; Jiayu Yao; Tianyu Liu; Yujun Cai; Baolong Bi; Fangda Guo; Jiafeng Guo; Shenghua Liu; Xueqi Cheng",arXiv (Cornell University),preprint,4,http://arxiv.org/abs/2510.12399
OpenAlex,https://openalex.org/W4410251856,10.36227/techrxiv.174681482.27435614/v1,"A Review on Vibe Coding: Fundamentals, State-of-the-art, Challenges and Future Directions","Vibe coding-where high-level natural-language directives orchestrate end-to-end software creation-has emerged as a transformative paradigm in modern development. Going beyond token-level autocomplete, vibe coding platforms employ multi-agent pipelines, Retrieval-Augmented Generation (RAG), and dynamic context management to autonomously scaffold entire projects: generating directory structures, Application Programming Interface (API) layers, user interfaces, test suites, and Continuous Integration/Continuous Delivery/Deployment (CI/CD) configurations from conversational prompts. In this review, we first introduce a unified taxonomy of interaction modalities-full delegation, guided delegation, active pairing, and expert consultation-mapped along a delegation-pairing continuum. We then survey leading implementations across IDE extensions, browser-based environments, and Command-Line Interface (CLI) agents, analyzing their architectures, integration strategies, and benchmarked performance. Building on these insights, we articulate the key benefits-accelerated prototyping, democratized software creation, and enriched collaboration-while prescribing best practices for adoption. We identify twelve critical challenges, including model hallucinations, technical debt, security and compliance risks, skill atrophy, and governance concerns. Finally, we propose fourteen concrete research directions, from standardized evaluation frameworks and adaptive ""vibe-aware"" agents to explainable AI, multimodal interfaces, and Development, Security, and Operations (DevSecOps) integration. This comprehensive roadmap equips researchers and practitioners to harness the promise of vibe coding with rigor, security, and inclusivity.",2025-05-09,Partha Pratim Ray,,preprint,17,https://doi.org/10.36227/techrxiv.174681482.27435614/v1
OpenAlex,https://openalex.org/W3191779124,10.1109/tse.2021.3101192,Factors Affecting On-Time Delivery in Large-Scale Agile Software Development,"Late delivery of software projects and cost overruns have been common problems in the software industry for decades. Both problems are manifestations of deficiencies in effort estimation during project planning. With software projects being complex socio-technical systems, a large pool of factors can affect effort estimation and on-time delivery. To identify the most relevant factors and their interactions affecting schedule deviations in large-scale agile software development, we conducted a mixed-methods case study at ING: two rounds of surveys revealed a multitude of organizational, people, process, project and technical factors which were then quantified and statistically modeled using software repository data from 185 teams. We find that factors such as requirements refinement, task dependencies, organizational alignment and organizational politics are perceived to have the greatest impact on on-time delivery, whereas proxy measures such as project size, number of dependencies, historical delivery performance and team familiarity can help explain a large degree of schedule deviations. We also discover hierarchical interactions among factors: organizational factors are perceived to interact with people factors, which in turn impact technical factors. We compose our findings in the form of a conceptual framework representing influential factors and their relationships to on-time delivery. Our results can help practitioners identify and manage delay risks in agile settings, can inform the design of automated tools to predict schedule overruns and can contribute towards the development of a relational theory of software project management.",2021-08-02,Elvan Kula; Eric Greuter; Arie van Deursen; Georgios Gousios,IEEE Transactions on Software Engineering,article,47,https://doi.org/10.1109/tse.2021.3101192
