claim_id,manuscript_claim,status,evidence_artifact,evidence_locator,allowed_wording,prohibited_wording
C01,"Token consumption and provider cost do not by themselves identify incremental organizational value.",conceptual,"method/CAUSAL_MODEL_v0.1.md","Purpose; Core causal structure","Usage records are inputs to cost attribution, not proof of causal value.","Tokens measure productivity or ROI."
C02,"The broad enterprise-tokenomics and closed-loop ROI framing overlaps existing scholarly and practice work.",audited,"novelty/NOVELTY_DECISION_MEMORANDUM_v1.0.md","Why narrowing is mandatory","The contribution is narrowed to an outcome-evidence and decision-accountability bridge.","First enterprise tokenomics or first AI ROI framework."
C03,"The calibration comprised 48 deliberately constructed cases across six domains and eight design strata per domain.",descriptive,"calibration/CALIBRATION_DESIGN_PROTOCOL_v1.0.md","Coverage","A 48-case constructed calibration evaluated policy behavior.","Representative sample of enterprises."
C04,"Two blinded synthetic reviewers passed the revised construct package with no blocking leakage finding.",descriptive,"calibration/review/consolidated_v1.1/construct_recheck_metrics_v1.1.json","recommendation; flags","Synthetic AI-AI construct stress testing found no blocking issue after packaging revision.","Human inter-rater validation."
C05,"The calibration package was hashed and tested before the one-time policy execution.",verified,"calibration/CALIBRATION_PRE_EXECUTION_LOCK_v1.2.json","lock file","All registered pre-execution hashes and tests passed.","External audit or independent replication."
C06,"OVAR false-positive ROI was 2/35 and false-scale was 0/35 on the constructed calibration.",observed,"calibration/results/calibration_v1.0/calibration_gate.json","policy_summaries[OVAR_LEDGER]","OVAR produced 5.7% false-positive ROI and no false-scale decisions on the constructed set.","OVAR improves enterprise ROI."
C07,"OVAR produced two false stops among 13 safe reference cases and two authorization-related harmful actions among 48 cases.",observed,"calibration/results/calibration_v1.0/calibration_gate.json","policy_summaries[OVAR_LEDGER]","OVAR false-stop was 15.4%, with two authorization violations.","Authorization safety was validated."
C08,"Outcome-flat had lower weighted loss and lower measurement burden than OVAR at every registered burden weight.",observed,"calibration/results/calibration_v1.0/calibration_gate.json","sensitivity; prospective_gate","Outcome-flat strictly dominated OVAR throughout the registered burden sensitivity range.","OVAR was non-dominated or superior."
C09,"OVAR passed five of nine mandatory prospective criteria; the gate stopped v1 and did not authorize held-out construction.",decision,"calibration/results/calibration_v1.0/CALIBRATION_DECISION_MEMORANDUM_v1.0.md","Decision; Criteria passed; Criteria failed","The prespecified OVAR v1 calibration hypothesis was not supported.","OVAR passed or was validated."
C10,"The binding errors arose from lexical treatment of temporal expiry and mixed authorization scope.",mechanistic,"calibration/results/calibration_v1.0/CALIBRATION_DECISION_MEMORANDUM_v1.0.md","Failure mechanism","The frozen text heuristic missed expiry dates and overgeneralized out-of-scope clauses.","All authorization errors in operational systems arise from lexical parsing."
C11,"The results are calibration behavior on constructed cases, not field effectiveness or realized ROI.",boundary,"calibration/PROSPECTIVE_ANALYSIS_PLAN_v1.0.md","Uncertainty and reporting","Results are descriptive and non-confirmatory.","Production-ready, causal, deployable, or generalizable effectiveness."
C12,"A future OVAR version requires structured temporal and scoped authorization records and new preregistered cases.",future_work,"calibration/results/calibration_v1.0/CALIBRATION_DECISION_MEMORANDUM_v1.0.md","Research direction","Structured authorization is a design implication requiring prospective testing.","Structured authorization is already proven to solve the problem."
