construct_id,name,level,type,operational_definition,unit_or_scale,measurement_time,role_in_study,prohibited_interpretation
C01,workflow_episode,episode,identifier,"Bounded instance of AI-assisted or comparator work with one registered objective start end and accountable owner",unique_id,pre-registered,unit_of_analysis,"A chat session alone is not necessarily an episode"
C02,organizational_node,organization,identifier,"Versioned position in enterprise business-unit domain team project workflow hierarchy",categorical_path,pre_episode,allocation_group,"Must not expose personal performance by default"
C03,registered_outcome_contract,episode,observed,"Outcome definition acceptance rule evaluator evidence type and measurement window fixed before episode result",structured_record,pre_episode,treatment_component,"A post-hoc success description is not a registered contract"
C04,task_complexity,episode,covariate,"Pre-action workload characteristics scored without seeing outcome or realized cost",versioned_scale,pre_episode,confounder_stratifier,"Realized token count must not define complexity"
C05,user_or_team_capability,actor,covariate,"Pre-period experience or validated skill band relevant to the workflow",ordinal_or_continuous,pre_episode,confounder_effect_modifier,"Not inferred from AI usage volume"
C06,workflow_integration,workflow,covariate,"Degree to which AI is embedded in authoritative data tools review and execution steps",rubric,pre_episode,effect_modifier,"Tool availability alone is not integration"
C07,ai_access_or_assignment,episode,treatment,"Eligibility or randomized/quasi-random exposure to AI assistance or an accounting policy",categorical,pre_episode,causal_exposure,"Observed use is not equivalent to assigned access"
C08,ai_use_intensity,episode,observed,"Calls agent steps or active AI-assisted duration within the episode",count_or_time,during_episode,mediator,"Not productivity or value"
C09,input_tokens,call,observed,"Provider-reported or tokenizer-estimated uncached input tokens",count,during_episode,cost_component,"Not comparable across models without qualification"
C10,output_tokens,call,observed,"Provider-reported generated output tokens",count,during_episode,cost_component,"Not a quality measure"
C11,cached_tokens,call,observed,"Provider-reported cached input or output tokens under a named pricing version",count,during_episode,cost_component,"Not charged identically across providers"
C12,reasoning_tokens,call,observed,"Provider-exposed reasoning-token quantity when available",count,during_episode,cost_component,"Missing does not mean zero"
C13,tool_and_retrieval_activity,step,observed,"Versioned tool calls searches retrievals database operations or external actions",count_and_cost,during_episode,cost_and_process,"More tool calls do not imply more useful work"
C14,provider_charge,episode,observed,"Reconciled contracted monetary charge for model and hosted AI services",currency,during_or_post_episode,cost_component,"List price is not contracted charge"
C15,infrastructure_cost,episode,estimated,"Allocated compute storage network vector database and platform cost attributable under a stated rule",currency,post_episode,cost_component,"Allocation proxy is not exact causal cost"
C16,human_review_cost,episode,estimated,"Reviewer time multiplied by a preregistered loaded labor-cost rule",currency,post_episode,cost_component,"Time saved elsewhere cannot cancel review cost without evidence"
C17,rework_cost,episode,estimated,"Human and system resources required to correct reject or redo AI-assisted work",currency,within_window,cost_component,"Initial completion does not imply zero rework"
C18,fully_loaded_ai_cost,episode,derived,"Provider plus infrastructure tool evaluation human-review integration and rework costs included by the registered boundary",currency,post_window,primary_cost_outcome,"Not necessarily the organization's complete long-run TCO"
C19,technical_task_success,episode,observed,"Pass or graded score under the registered task acceptance rule",binary_or_score,post_episode,intermediate_outcome,"Technical success is not automatically business value"
C20,independent_outcome_evidence,episode,observed,"Reviewable evidence produced or verified by a source not responsible for the allocation decision or value claim",evidence_uri_and_hash,within_window,treatment_component,"Independence must be assessed not assumed"
C21,human_acceptance,episode,observed,"Authorized recipient accepts output for intended use under a predefined rule",binary_or_scale,post_episode,intermediate_outcome,"Acceptance is not correctness or incremental value"
C22,baseline_outcome,episode,counterfactual_proxy,"Outcome under randomized control pre-period matched comparator or other prespecified identification design",native_outcome_unit,pre_or_concurrent,counterfactual_reference,"Historical average is not automatically a credible counterfactual"
C23,observed_outcome_with_ai,episode,observed,"Measured outcome for the AI-assisted episode in the outcome contract's native unit",native_outcome_unit,within_window,primary_measure,"Gross outcome is not AI-attributable value"
C24,incremental_outcome,episode,estimated,"Observed outcome with AI minus the prespecified counterfactual estimate with uncertainty",native_outcome_unit,post_window,causal_estimand_component,"Difference is causal only under identification assumptions"
C25,attribution_confidence,episode,estimated,"Prespecified evidence-based confidence in attributing incremental outcome to AI assistance",probability_or_band,post_window,uncertainty_modifier,"Not a subjective certainty score without calibration"
C26,monetary_value_component,episode,estimated,"Revenue contribution avoided cost or redeployable cost saving supported by an explicit conversion and evidence",currency,post_window,value_component,"Time saved is not monetary saving unless capacity is redeployed or avoided"
C27,nonmonetary_value_component,episode,observed_or_estimated,"Quality service resilience learning or risk outcome retained in its native unit",native_unit,post_window,value_component,"Must not be silently monetized or summed with currency"
C28,expected_harm_cost,episode,estimated,"Probability-weighted adverse consequence under a registered risk model",currency_or_separate_risk_unit,pre_and_post,risk_constraint,"A low estimate is not proof of safety"
C29,verified_incremental_value,episode,derived,"Incremental outcome or monetary value supported by evidence baseline attribution confidence and uncertainty record",currency_and_native_components,post_window,primary_value_outcome,"Not gross benefit and not guaranteed causal effect"
C30,outcome_evidence_ledger,episode,treatment,"Versioned linked record containing consumption work outcome evidence baseline attribution cost value uncertainty and provenance",completeness_and_validity,throughout,primary_intervention,"A complete form does not ensure truthful evidence"
C31,decision_receipt,decision,observed,"Immutable record of inputs policy version decision rationale approver timestamp and subsequent realized result",structured_record,decision_time,accountability_output,"Receipt existence does not imply decision correctness"
C32,roi_classification,episode_or_project,derived,"Positive neutral negative or indeterminate classification using registered value cost uncertainty and decision thresholds",categorical,post_window,decision_outcome,"Indeterminate must not be relabeled positive"
C33,scale_stop_decision,project,observed,"Frozen policy recommendation to stop revise continue pilot or scale",categorical,decision_time,decision_outcome,"Recommendation is not evidence of realized future value"
C34,false_positive_roi,episode_or_project,derived,"Policy classifies ROI positive when reference evidence classifies non-positive or indeterminate under registered rules",binary,analysis,primary_error_outcome,"Depends on reference-label validity"
C35,false_scale,project,derived,"Policy recommends scale when reference evidence supports stop revise or insufficient evidence",binary,analysis,primary_error_outcome,"Not merely a later underperforming project without defined window"
C36,false_stop,project,derived,"Policy recommends stop when reference evidence supports continued pilot or scale",binary,analysis,primary_error_outcome,"Opportunity cost must follow the registered reference rule"
C37,measurement_cost,episode_or_project,observed,"Incremental time and money required to populate verify adjudicate and retain the ledger",currency_and_time,throughout,burden_outcome,"Governance is not cost-free"
