source_id,source_level,telemetry,cost_normalization,workflow_attribution,outcome_definition,independent_outcome_verification,counterfactual_baseline,attribution_confidence,fully_loaded_cost,roi,risk_adjustment,hierarchy,dynamic_allocation,reserve_carry_forward,access_fairness,anti_gaming,evaluation_method,open_artifacts,direct_overlap,remaining_gap,closeness_0_14
S01,preprint,partial,partial,yes,yes,no,no,no,partial,partial,partial,yes,yes,partial,partial,partial,conceptual framework,yes,"enterprise token economics and value allocation","prospective outcome receipts and policy evaluation",9
S02,survey,partial,partial,partial,quality-oriented,no,no,no,partial,no,yes,partial,yes,no,partial,yes,systematic survey,yes,"unified token economics and dynamic markets","organization-level verified outcome attribution",7
S03,position paper,partial,yes,partial,utility-oriented,no,no,no,partial,no,yes,no,yes,no,no,partial,conceptual analysis,yes,"risk-adjusted marginal token allocation","hierarchical outcome evidence and empirical governance test",8
S04,empirical preprint,yes,no,yes,task completion,no,no,no,partial,no,no,no,no,no,no,no,trace analysis,unclear,"token distribution in agentic work","business outcome and allocation policy",3
S05,empirical preprint,yes,partial,yes,accuracy,no,no,no,partial,no,no,no,no,no,no,no,benchmark trajectory analysis,unclear,"token variability value proxy and prediction","verified organizational value and hierarchy",4
S06,empirical preprint,yes,yes,yes,quality,no,no,no,partial,no,no,no,yes,no,no,no,optimization and experiments,unclear,"quality-aware cost optimization","incremental business outcomes and governance",4
S07,working paper,no,partial,project,expected value,no,partial,partial,yes,yes,partial,portfolio,yes,no,partial,partial,case illustration,unclear,"AI portfolio eROI allocation","trace reconciliation and verified realized outcomes",8
S08,design analysis,no,no,no,no,no,no,no,no,no,no,partial,partial,yes,partial,partial,policy and design-space analysis,unclear,"carry-over pooling transfer and conversion","value-conditioned internal allocation evaluation",5
S09,official framework,partial,partial,yes,yes,yes,yes,partial,yes,partial,yes,organization,partial,no,yes,yes,govern-map-measure-manage,no,"business value costs risk and evidence governance","specific resource-allocation algorithm and test",8
S10,official practice,yes,yes,yes,yes,partial,partial,partial,yes,yes,yes,organization,yes,partial,partial,partial,FinOps framework,no,"AI consumption allocation optimization and value","independent outcome receipt and confirmatory comparison",10
S11,official practice,yes,yes,yes,partial,no,no,no,partial,no,no,yes,partial,partial,no,no,implementation guidance,no,"token tracking and use-case attribution","causal outcome and value-based allocation",5
S12,official practice,yes,yes,yes,partial,no,no,no,yes,partial,partial,yes,yes,partial,partial,yes,operating framework,no,"token unit economics budgets allocation governance","prospective verified outcome policy test",9
S13,software,yes,yes,yes,no,no,no,no,partial,no,partial,yes,yes,no,no,yes,production software,yes,"gateway spend budgets keys and routing","business outcome evidence and causal ROI",5
S14,software,yes,partial,yes,yes,partial,no,no,partial,no,no,yes,partial,no,no,partial,production software,yes,"traces evaluations and metrics","incremental value and allocation governance",5
