source,source_id,doi,title,abstract,published,authors,venue,record_type,cited_by_count,url
Semantic Scholar,06f96aa4b12ca7d174e50bb0cd0b9291e58b8315,10.1007/s10791-026-10331-6,Hybrid intelligence effort for software effort estimation in LLM assisted development,"Software effort estimation remains a cornerstone of project planning and control, yet existing estimation models are grounded in the assumption that software development effort is dominated by human reasoning and manual construction. The rapid integration of large language models (LLMs) into development workflows fundamentally challenges this assumption by automating substantial portions of code synthesis while shifting human effort toward supervision, validation, and integration. As a result, traditional effort estimation proxies such as Story Points and size-based metrics may no longer reliably characterize development effort. This paper presents an empirical study examining how effort manifests in LLM-assisted software development. Rather than using LLMs as predictive estimation tools, we investigate how their adoption reshapes the underlying cost structure of development work. We introduce the notion of Hybrid Intelligence Effort (HIE), conceptualizing effort as the combined burden of model-performed reasoning and human oversight activities. Using a controlled experiment involving 22 developers, 110 real-world tasks, and three LLMs, we compare the explanatory power of traditional estimation metrics against interaction- and oversight-based Hybrid Intelligence dimensions. Our results show that while Story Points retain partial explanatory validity, they fail to capture dominant sources of effort in LLM-assisted workflows. In controlled experiments, HIE dimensions increase explained variance in observed effort from approximately 72–80%, while substantially reducing systematic estimation error. Human validation and corrective intervention emerge as the primary drivers of effort, outweighing artifact-level characteristics. These findings suggest that effort estimation models must move beyond human-centric and size-based assumptions to remain effective in AI-augmented software engineering.",2026-07-06,Feisal Alaswad; E. Poovammal; Kadiyala Ramana; G. S. Narayana; A. Khan; Muhammad Faheem,,JournalArticle,1,https://www.semanticscholar.org/paper/06f96aa4b12ca7d174e50bb0cd0b9291e58b8315
Semantic Scholar,0822c4a06481a5271f9c19433a04b2b2abc5a0cb,10.1109/aicconf69182.2026.11600668,Comparative Evaluation of Large Language Models on Agile Story Point Estimation,"Agile effort estimation is a necessary but chaotic part of the modern software development lifecycle. The popular human estimation method Planning Poker is disrupted by cognitive biases such as anchoring and over-optimism. This results in a large documentation debt and frequently missing the mark on deliveries. This paper presents the first comparative study of state-of-the-art Large Language Models (LLMs) Claude Opus 4.6, Gemini 2.5 Pro, GPT-5.2, and GPT-5.3 Codex in the area of automatic Agile-relevant story point estimation. The introduction of a new ""Uncertainty-Based Step-Up Heuristic"" method is designed to reverse the perennial underestimating of technical difficulty in natural language specifications. To validate the method, I utilized a real business dataset consisting of data from several agile sprints, processed through a customized Model Context Protocol (MCP) server template. The result reveals that although general-purpose reasoning LLMs like Claude Opus 4.6 can achieve a 60.7% exact match accuracy after calibration, domain-specific high code models like Codex indicate an ""Over-Correction Paradox"" as technical uncertainty scales. The study also uncovers a ""Small Task Blindspot"" and presents a simple to understand counterexample of why majority-vote ensemble techniques should mostly not be used in the complex verification logic. This research is the foundation of the closed-loop AI led agile orchestration that raises the bar above the real-time demands of autonomous verification and artifact synchronization.",2026-04-24,Özgen Erbakan,,Conference,0,https://www.semanticscholar.org/paper/0822c4a06481a5271f9c19433a04b2b2abc5a0cb
Semantic Scholar,20893752efce98b7c92ec5a2680deba8e38392c2,10.48550/arxiv.2604.17055,Workstream: A Local-First Developer Command Center for the AI-Augmented Engineering Workflow,"Modern software engineers operate across 5-10 disconnected tools daily: GitHub, GitLab, Jira, Slack, calendar applications, CI dashboards, AI coding assistants, and container platforms. This fragmentation creates cognitive overhead that interrupts deep work and delays response to critical engineering signals. We present Workstream, an open-source, local-first developer command center that aggregates pull requests, task management, calendar, AI-powered code review, historical review intelligence, repository AI-readiness scoring, and agent observability into a single interface. We describe the system architecture, a novel 5-category AI readiness scoring algorithm, a review intelligence pipeline that mines historical PR reviews for team-specific patterns, and an agent observability layer implementing the Model Context Protocol (MCP), Agent-to-Agent (A2A), and Agent Observability Protocol (AOP). Through a case study of applying the tool to its own development, we demonstrate measurable improvements in AI-readiness scores (48 to 98 on our internal scanner; 41.6 to 73.7 on the independent agentready CLI). Workstream is released as open source under the Apache 2.0 license at https://github.com/happybhati/workstream.",2026-04-18,Happy Bhati,arXiv.org,JournalArticle; Review,0,https://www.semanticscholar.org/paper/20893752efce98b7c92ec5a2680deba8e38392c2
Semantic Scholar,3be3bb86f9cc7b5959ec62500d52ebb0309df599,10.37745/ijeats.13/vol13n12943,Engineering in the Age of AI: Leveraging Copilot for Enhanced Software Development,"The emergence of AI-powered development tools like Microsoft Copilot has fundamentally transformed the software engineering landscape. These intelligent assistants serve as force multipliers for engineering talent, enabling dramatic acceleration in development velocity while maintaining or improving code quality across multiple dimensions. From code generation and refactoring to automated testing and documentation, AI assistants enhance human capabilities rather than replacing them, allowing engineers to focus on higher-value creative and strategic activities. Organizations implementing structured governance frameworks, systematic validation processes, and comprehensive capability development programs achieve significantly better outcomes than those pursuing ad-hoc adoption approaches. This technical article examines implementation strategies for effectively integrating AI assistants into development workflows, highlighting the critical balance between automation benefits and engineering ownership that characterizes successful AI-augmented engineering practices.",2025-01-15,S. Addagalla,International journal of engineering and advanced technology studies,JournalArticle,0,https://www.semanticscholar.org/paper/3be3bb86f9cc7b5959ec62500d52ebb0309df599
Semantic Scholar,40a3c60cd09ca8f2b6635dc97f6251237ee7f8f4,10.1109/icaiset66439.2026.11542057,From AI Drag to AI Boost: A Preceptorship Framework for Developing Software Engineering Expertise in the Agentic Era,"Agentic coding assistants confer a pronounced productivity advantage upon experienced engineers who possess the judgment to direct and evaluate AI-generated output—an effect we term the AI Boost—while imposing an epistemic burden on early-in-career (EiC) developers who lack the cognitive schemata to verify or learn from AI artifacts—the AI Drag. This seniority-biased technological change, corroborated by a 16.3% decline in junior-to-senior job posting ratios, threatens intergenerational knowledge transfer. We introduce a Preceptorship Framework instantiated through the Preceptor-Learner-Agent (PLA) triad—an organizational design pattern embedding structured mentorship, AI-mediated Socratic pedagogy, and competency tracking within production workflows. A 14-month quasi-experimental evaluation across a 200-engineer organization provides preliminary evidence that structured preceptorship is associated with a 41% reduction in EiC time-to-competency relative to pre-AI baselines, while senior throughput multipliers of 2.7x are sustained among active preceptors. Unstructured AI adoption without preceptorship is associated with a 25% increase in time-to-competency, consistent with the 'Fragile Expert' phenomenon (77% failure rate on unassisted tasks). We propose a five-level Preceptorship Maturity Model for epistemic sustainability in AI-augmented engineering organizations. As a non-randomized quasi-experimental study conducted within a single organization, the findings establish feasibility and generate hypotheses for future controlled replications; the effect magnitudes reported here should be interpreted as preliminary estimates pending confirmation through randomized trials.",2026-04-21,Satyanarayana Gudimetla; Suresh Gangula; R. Adinarayana; Chandrakanth Challa; Sudhakar Vunnam; Sudhamadhuri Buhyavarapu,,Conference,0,https://www.semanticscholar.org/paper/40a3c60cd09ca8f2b6635dc97f6251237ee7f8f4
Semantic Scholar,40de9028bd1e0fed8793053acc77dd1b22637fb3,10.48550/arxiv.2603.20028,Orchestrating Human-AI Software Delivery: A Retrospective Longitudinal Field Study of Three Software Modernization Programs,"Evidence on AI in software engineering still leans heavily toward individual task completion, while evidence on team-level delivery remains scarce. We report a retrospective longitudinal field study of Chiron, an industrial platform that coordinates humans and AI agents across four delivery stages: analysis, planning, implementation, and validation. The study covers three real software modernization programs -- a COBOL banking migration (~30k LOC), a large accounting modernization (~400k LOC), and a .NET/Angular mortgage modernization (~30k LOC) -- observed across five delivery configurations: a traditional baseline and four successive platform versions (V1--V4). The benchmark separates observed outcomes (stage durations, task volumes, validation-stage issues, first-release coverage) from modeled outcomes (person-days and senior-equivalent effort under explicit staffing scenarios). Under baseline staffing assumptions, portfolio totals move from 36.0 to 9.3 summed project-weeks; modeled raw effort falls from 1080.0 to 232.5 person-days; modeled senior-equivalent effort falls from 1080.0 to 139.5 SEE-days; validation-stage issue load falls from 8.03 to 2.09 issues per 100 tasks; and first-release coverage rises from 77.0% to 90.5%. V3 and V4 add acceptance-criteria validation, repository-native review, and hybrid human-agent execution, simultaneously improving speed, coverage, and issue load. The evidence supports a central thesis: the largest gains appear when AI is embedded in an orchestrated workflow rather than deployed as an isolated coding assistant.",2026-03-20,Maximiliano Armesto; Christoph Kolb,arXiv.org,JournalArticle; Review,3,https://www.semanticscholar.org/paper/40de9028bd1e0fed8793053acc77dd1b22637fb3
Semantic Scholar,5a031f24656e300aa7faea4b3d0e3d34001bd7b9,10.1017/pds.2025.10058,AI-augmented systems engineering: conceptual application of retrieval-augmented generation for model-based systems engineering graph,"ABSTRACT: This paper presents the MBSE-Graph-RAG framework to address key challenges in Model-Based Systems Engineering (MBSE). Traditional MBSE tools suffer from usability barriers, limited accessibility, and integration challenges. By combining knowledge graphs with Retrieval-Augmented Generation (RAG), the proposed framework enables AI-Augmented engineering through natural language interactions and automated system architecture generation. A systematic literature review establishes a solid research foundation, identifying gaps in AI-assisted MBSE. Key contributions include a structured MBSE-Graph interface, improved usability via Large Language Models (LLMs), and automated graph construction aligned with SysML. A proof-of-concept demonstrates the potential of this approach to enhance MBSE by reducing complexity, improving data accessibility, and supporting engineering collaboration.",2025-08-01,Fabian Hanke; Isaac Mpidi Bita; Oliver von Heißen; Weller Julian; Hovemann Aschot; Dumitrescu Roman,Proceedings of the Design Society,JournalArticle; Review,6,https://www.semanticscholar.org/paper/5a031f24656e300aa7faea4b3d0e3d34001bd7b9
Semantic Scholar,68f972872c5db3964feb2cc07044162b78ea2bff,10.48550/arxiv.2603.06276,Story Point Estimation Using Large Language Models,"This study investigates the use of large language models (LLMs) for story point estimation. Story points are unitless, project-specific effort estimates that help developers on the scrum team forecast which product backlog items they plan to complete in a sprint. To facilitate this process, machine learning models, especially deep neural networks, have been applied to predict the story points based on the title and description of each item. However, such machine learning models require sufficient amounts of training data (with ground truth story points annotated by human developers) from the same software project to achieve decent prediction performance. This motivated us to explore whether LLMs are capable of (RQ1) predicting story points without training data or (RQ2) with only a few training data points. Our empirical results with four LLMs on 16 software projects show that, without any training data (zero-shot prompting), LLMs can predict story points better than supervised deep learning models trained on 80% of the data. The prediction performance of LLMs can be further improved with a few training examples (few-shot prompting). In addition, a recent study explored the use of comparative judgments (between a given pair of items which one requires more effort to implement) instead of directly annotating the story points to reduce the cognitive burden on developers. Therefore, this study also explores (RQ3) whether comparative judgments are easier to predict than story points for LLMs and (RQ4) whether comparative judgments can serve as few-shot examples for LLMs to improve their predictions of story points. Empirical results suggest that it is not easier for LLMs to predict comparative judgments than to directly estimate the story points, but comparative judgments can serve as few-shot examples to improve the LLMs'prediction performance as well as the human-annotated story points.",2026-03-06,P. Shetty; A. Balakrishnan; Mengqiao Xu; Xiaoyin Xi; Zhe Yu,arXiv.org,JournalArticle,0,https://www.semanticscholar.org/paper/68f972872c5db3964feb2cc07044162b78ea2bff
Semantic Scholar,72b1a78ce2aed514d3eb38631582ee49474e5095,10.1007/978-3-031-48796-5_9,Search-Based Optimisation of LLM Learning Shots for Story Point Estimation,"One of the ways Large Language Models (LLMs) are used to perform machine learning tasks is to provide them with a few examples before asking them to produce a prediction. This is a meta-learning process known as few-shot learning. In this paper, we use available Search-Based methods to optimise the number and combination of examples that can improve an LLM's estimation performance, when it is used to estimate story points for new agile tasks. Our preliminary results show that our SBSE technique improves the estimation performance of the LLM by 59.34% on average (in terms of mean absolute error of the estimation) over three datasets against a zero-shot setting.",2024-03-13,Vali Tawosi; Salwa Alamir; Xiaomo Liu,International Symposium on Search Based Software Engineering,JournalArticle,14,https://www.semanticscholar.org/paper/72b1a78ce2aed514d3eb38631582ee49474e5095
Semantic Scholar,7f9e919bac8a957f6194b289e6449aa0bee06fd0,10.1109/access.2026.3671204,From COCOMO to GPT: A Comprehensive Evaluation of LLM-Based Software Effort Estimation,"Accurate software effort estimation remains a critical yet challenging task in software engineering. While recent advances in Large Language Models (LLMs) have demonstrated impressive capabilities across a wide range of software engineering activities, their effectiveness for effort estimation has not been systematically evaluated. This paper presents a comprehensive empirical benchmark comparing zero-shot LLM-based estimation with classical Machine Learning (ML) models and transformer-based regression approaches across two complementary settings: textual story-point estimation and structured project-level effort estimation. We evaluate multiple model families on two large-scale story-point datasets (Agile and NEO) and five widely adopted project-level datasets (Desharnais, COCOMO81, NASA93, Maxwell, and Kitchenham). Predictive accuracy is assessed across all datasets. The story-point benchmark further analyzes cross-project generalization, linguistic robustness, computational cost, and human–AI interaction effects, whereas the project-level benchmark evaluates robustness under noise injection, missing-value stress testing, and feature ablation. Experimental results show that off-the-shelf LLMs operating in zero-shot settings consistently underperform task-specific ML and transformer-based regression models in terms of absolute accuracy and cost efficiency. Classical ML models remain the most reliable estimators for structured datasets, while fine-tuned transformer regressors achieve the best performance on textual story-point estimation. Despite their lower numerical accuracy, LLMs demonstrate relatively low sensitivity to linguistic variation and may influence human judgment through persuasive explanations, as suggested by the exploratory human–LLM interaction study. These findings suggest that zero-shot LLMs may be suited as qualitative decision-support tools rather than as autonomous effort estimators. Overall, this work highlights the importance of architectural alignment, cost-aware evaluation, and human-centered considerations when deploying AI models for software effort estimation.",2026,Feisal Alaswad; Ieee E. POOVAMMAL Senior Member; And Batoul Aljaddouh,IEEE Access,JournalArticle,4,https://www.semanticscholar.org/paper/7f9e919bac8a957f6194b289e6449aa0bee06fd0
