source,source_id,doi,title,abstract,published,authors,venue,record_type,cited_by_count,url
Semantic Scholar,0001046b3be464278fa266aa85de726d05460790,10.15680/ijirset.2025.1403120,AI-Powered Code Completion Tools and Their Impact on Developer Productivity,"AI-powered code completion tools, such as GitHub Copilot, have revolutionized software development
by automating repetitive coding tasks and providing real-time code suggestions. This paper explores the impact of these
tools on developer productivity, focusing on their ability to reduce development time, improve code quality, and
enhance overall efficiency. Through a review of existing literature, case studies, and experimental data, we analyze the
benefits and challenges of AI-assisted coding. The findings reveal that developers using tools like GitHub Copilot
complete tasks significantly faster, with a reported 55.8% reduction in completion time in controlled experiments .
However, challenges such as dependency on AI-generated code, occasional inaccuracies, and security concerns remain.
This paper concludes with recommendations for future enhancements and research directions to maximize the potential
of AI-powered code completion tools in software development.",2025-03-20,C. K. Gomathy; S. Anirudh,International Journal of Innovative Research in Science Engineering and Technology,JournalArticle; Review,1,https://www.semanticscholar.org/paper/0001046b3be464278fa266aa85de726d05460790
Semantic Scholar,0009a42075b8f1921d0ea2cf9816a26a16a5693d,,Execution-First Synthetic Tool-Use Trace Generation for LLM Agents,"Agentic software-engineering and industrial systems increasingly operate through executable workflows rather than code genera- tion alone: they search artifacts, invoke tools, inspect structured observations, and query databases. Training these agents requires supervision data that captures valid tool interactions and executable workflows. However, traditional query-first data synthesis can fail because plausible user requests may not correspond to valid tool sequences, compatible parameters, or available data. To address this limitation, we propose SyntheticAgentTraceQA, an execution- first framework for generating scalable supervision data for tool- augmented agents. Our framework first constructs high-level work- flow structures, maps them to available tools through dependency- aware assignment, executes and validates the resulting traces in con- trolled environments, and only then synthesizes natural-language user tasks, teacher-generated reasoning annotations, and reference answers. We evaluate the framework across four tool ecosystems and use the resulting data to fine-tune and evaluate Qwen model variants. The results show that execution-grounded supervision improves tool execution behavior, reference-trace agreement, and answer-generation performance on the evaluated tasks. Further analysis reveals a supervision trade-off: masked supervision, which excludes reasoning annotations from the training objective, im- proves final-answer metrics, whereas full supervision, computing loss over the complete assistant output including reasoning tokens, underperforms on answer quality and does not consistently im- prove reference-trace agreement, particularly at the 9B scale. These findings highlight the importance of designing synthetic supervi- sion according to the desired capabilities of tool-augmented agents.",2026-07-31,Hafsa Ouajdi; Francesco Giannuzzo; Alaa Boukhary; Paolo Papotti; Gerard Conangla; Adam Elwood,,,0,https://www.semanticscholar.org/paper/0009a42075b8f1921d0ea2cf9816a26a16a5693d
Semantic Scholar,0033708ee454d5ea4c7b6ed0f9424e63baf9b395,10.48550/arxiv.2605.17626,Verifier-Guided Code Translation via Meta-Step Decoding,"Test-time scaling is an important mechanism for improving large language models, especially on tasks with deterministic verifiers. Code translation is a canonical example: the source program constrains valid outputs, while compilers, type check- ers, and behavioral checks provide exact pass/fail feedback. Existing approaches typically apply these verifiers only after generation, which is inefficient because early errors corrupt the autoregressive context and are rarely corrected later. We introduce Decoding Time Verification (DTV), a framework that treats structural boundaries as meta steps for verifier-guided decoding. DTV interleaves generation with verifier calls under a state-machine controller that enforces valid prefixes, using structural-boundary checks and structure-aware rollback to prevent error propagation while reducing wasted tokens. We evaluate DTV on C-to-Rust and JavaScript-to-TypeScript translation. Using Qwen3-4B as the primary generator under matched token budgets, DTV improves pass rates from 72.3% to 82.0% on C-to-Rust and from 33.3% to 46.0% on JavaScript-to-TypeScript relative to matched self-refinement baselines, while using fewer tokens per case; the same trend largely transfers to Gemma-4-E4B. In the evaluated cost-matched grid, DTV achieves a more favorable pass-rate-cost tradeoff than post-hoc verification or sampling-based scaling. These results show that verifier-guided decoding is an effective use of inference-time compute for code translation.",2026-05-17,Tianyang Zhou; Somesh Jha; Mihai Christodorescu; Kirill Levchenko; Varun Chandrasekaran,arXiv.org,JournalArticle,1,https://www.semanticscholar.org/paper/0033708ee454d5ea4c7b6ed0f9424e63baf9b395
Semantic Scholar,003b0474e005b8eaafd962ac8625ab7f21edd256,10.1093/humrep/deaf097.236,O-236 Automating day 0 in the IVF laboratory: clinical validation of a three-stage workflow resulting in first pregnancies,"
 
 
 Can an automated three-stage IVF workflow, under embryologist supervision, reliably perform sperm preparation, oocyte processing, and ICSI to achieve clinical pregnancies?
 
 
 
 First clinical pregnancies were achieved using a three-stage automated Day 0 IVF workflow, with fertilization and blastocyst rates matching manual controls.
 
 
 
 The growing demand for fertility treatments is constrained by a global shortage of skilled embryologists and the inherent variability of manual laboratory procedures. While automation has revolutionised industries like diagnostics and pharmaceutical production by improving standardisation, reducing human error, and increasing throughput, IVF laboratories remain largely manual. Day 0 procedures, including sperm preparation, oocyte handling, and ICSI, rely heavily on embryologist expertise and precision. Despite the known benefits of automation in reducing variability and workload, to the best of our knowledge, no fully integrated system has yet been clinically validated for automating these critical steps while maintaining embryologist oversight.
 
 
 
 This proof-of-concept study reports on three patients allocated to an automated Day 0 IVF workflow, following prior validation of individual automated stations for sperm preparation, oocyte handling, and ICSI. These cases mark the culmination of a 6-month pilot program, progressively validating individual and combined stations across 42 patients.
 
 
 
 Eligible participants (18-39 years) undergoing IVF/ICSI were enrolled after providing informed consent. Exclusion criteria included uterine pathology, severe male infertility (e.g., azoospermia), or genetic conditions. In this single-centre pilot study, sibling oocytes were randomly assigned to automated or manual processing, adhering to standard IVF protocols. The three-stage automation included: (1) centrifuge-free sperm capacitation, (2) automated COC identification and denudation, and (3) AI-assisted sperm selection with laser-guided piezo-ICSI.
 
 
 
 A three-stage automated IVF workflow was evaluated in three patients (average age: 29.7 years), all using autologous eggs, with one using donor sperm. The system successfully performed sperm preparation, oocyte processing, and ICSI, leading to pregnancies in all cases.
 For Patient 1, automation achieved 80% fertilisation (4/5) and 75% blastocyst formation (3/4). One embryo was transferred, resulting in an ongoing pregnancy. The control had 100% fertilisation (6/6) and 67% blastocyst formation (4/6).
 For Patient 2, automation yielded 43% fertilisation (3/7) and 33% blastocyst formation (1/3). One embryo was transferred, leading to an ongoing pregnancy. The control achieved 60% fertilisation (6/10) and 33% blastocyst formation (2/6).
 For Patient 3, automation resulted in 100% fertilisation (2/2) and 50% blastocyst formation (1/2). A euploid embryo was transferred, leading to an ongoing pregnancy. Embryo selection was based on Gartner grading with AI assistance (ERICA). In all cases, the top-ranked embryos were from the automated system and prioritised for transfer.
 The system demonstrated fertilisation and blastocyst rates comparable to manual processes, achieving pregnancies in all cases. However, given the small sample size (three patients), the role of chance cannot be excluded, and further studies are needed to confirm reproducibility.
 
 
 
 This first demonstration of fully automated Day 0 IVF achieved clinical pregnancies in a limited cohort of three patients. The prototype still requires embryologists' supervision and manual sample handling between stations. A larger study on a new system is underway to confirm reproducibility and improved throughput.
 
 
 
 Achieving pregnancies with a fully automated Day 0 workflow demonstrates the feasibility of standardizing complex IVF procedures while reducing operator dependence and potentially improving cost-effectiveness. Further optimization of this technology could expand access to fertility treatment and enhance laboratory efficiency.
 
 
 
 Yes
",2025-06-01,A. Chavez Badiola; G. Mendizabal Ruiz; A. Flores Saiffe; E. H. Hernández Morales; A. Álvarez; F. Acosta; A. Valadez Aguilar; N. Costa Borges; M. Alikani; J. Cohen,Human Reproduction,JournalArticle,0,https://www.semanticscholar.org/paper/003b0474e005b8eaafd962ac8625ab7f21edd256
Semantic Scholar,004a1f368b01e11b37a765305e6966b2395c14af,10.48550/arxiv.2412.16964,System-2 Mathematical Reasoning via Enriched Instruction Tuning,"Solving complex mathematical problems via system-2 reasoning is a natural human skill, yet it remains a significant challenge for current large language models (LLMs). We identify the scarcity of deliberate multi-step reasoning data as a primary limiting factor. To this end, we introduce Enriched Instruction Tuning (EIT), a method that enriches existing human-annotated mathematical datasets by synergizing human and AI feedback to create fine-grained reasoning trajectories. These datasets are then used to fine-tune open-source LLMs, enhancing their mathematical reasoning abilities without reliance on any symbolic verification program. Concretely, EIT is composed of two critical steps: Enriching with Reasoning Plan (ERP) and Enriching with Reasoning Step (ERS). The former generates a high-level plan that breaks down complex instructions into a sequence of simpler objectives, while ERS fills in reasoning contexts often overlooked by human annotators, creating a smoother reasoning trajectory for LLM fine-tuning. Unlike existing CoT prompting methods that generate reasoning chains only depending on LLM's internal knowledge, our method leverages human-annotated initial answers as ``meta-knowledge'' to help LLMs generate more detailed and precise reasoning processes, leading to a more trustworthy LLM expert for complex mathematical problems. In experiments, EIT achieves an accuracy of 84.1% on GSM8K and 32.5% on MATH, surpassing state-of-the-art fine-tuning and prompting methods, and even matching the performance of tool-augmented methods.",2024-12-22,Huanqia Cai; Yijun Yang; Zhifeng Li,,JournalArticle,5,https://www.semanticscholar.org/paper/004a1f368b01e11b37a765305e6966b2395c14af
Semantic Scholar,0062de787420c80d1f4ffdd5d266b78359e50508,10.17016/feds.2026.018,AI and Coder Employment: Compiling the Evidence,"We evaluate whether LLMs have had any discernible impact on the aggregate labor market so far. We focus on occupations that are computer programming-intensive, motivated by data showing that coding is one of the most LLM-exposed tasks. Linking O*NET to CPS we find that aggregate employment of coders has decelerated sharply since the introduction of ChatGPT. Using a novel control variable for industry-level shocks we show that the deceleration is not attributable to the exposure of coders to slowing industries, suggesting instead that coders experienced an occupation-specific shock around the introduction of ChatGPT. Coder employment has continued to grow in recent years, though much more slowly than it did pre-2022. We validate the industry-level control variable by examining historical examples of occupations that experienced either occupation-specific or industry-level shocks. We also provide statistics on the agreement rates between different measures of AI exposure.",2026-03-01,Leland D. Crane; Paul E. Soto,Finance and Economics Discussion Series,JournalArticle,0,https://www.semanticscholar.org/paper/0062de787420c80d1f4ffdd5d266b78359e50508
Semantic Scholar,0064aee71f042eddfd78c9032c02cbc496c2ea05,10.48550/arxiv.2510.14232,Scaling Test-Time Compute to Achieve IOI Gold Medal with Open-Weight Models,"Competitive programming has become a rigorous benchmark for evaluating the reasoning and problem-solving capabilities of large language models (LLMs). The International Olympiad in Informatics (IOI) stands out as one of the most prestigious annual competitions in competitive programming and has become a key benchmark for comparing human and AI-level programming ability. While several proprietary models have been claimed to achieve gold medal-level performance at the IOI, often with undisclosed methods, achieving comparable results with open-weight models remains a significant challenge. In this paper, we present GenCluster, a scalable and reproducible test-time compute framework that attains IOI gold-level performance using open-weight models. It combines large-scale generation, behavioral clustering, ranking, and a round-robin submission strategy to efficiently explore diverse solution spaces under limited validation budgets. Our experiments show that the performance of our proposed approach scales consistently with available compute, narrowing the gap between open and closed systems. Notably, we will show that GenCluster can achieve a gold medal at IOI 2025 for the first time with an open-weight model gpt-oss-120b, setting a new benchmark for transparent and reproducible evaluation of reasoning in LLMs",2025-10-16,Mehrzad Samadi; Aleksander Ficek; Sean Narenthiran; Siddhartha Jain; W. Ahmad; Somshubra Majumdar; V. Noroozi; Boris Ginsburg,Annual Meeting of the Association for Computational Linguistics,JournalArticle; Conference,6,https://www.semanticscholar.org/paper/0064aee71f042eddfd78c9032c02cbc496c2ea05
Semantic Scholar,007e6293197626599944ce734efca5ca159bba4e,10.1007/s11606-024-09031-y,Can AI-Generated Clinical Vignettes in Japanese Be Used Medically and Linguistically?,"Creating clinical vignettes requires considerable effort. Recent developments in generative artificial intelligence (AI) for natural language processing have been remarkable and may allow for the easy and immediate creation of diverse clinical vignettes. In this study, we evaluated the medical accuracy and grammatical correctness of AI-generated clinical vignettes in Japanese and verified their usefulness. Clinical vignettes were created using the generative AI model GPT-4–0613. The input prompts for the clinical vignettes specified the following seven elements: (1) age, (2) sex, (3) chief complaint and time course since onset, (4) physical findings, (5) examination results, (6) diagnosis, and (7) treatment course. The list of diseases integrated into the vignettes was based on 202 cases considered in the management of diseases and symptoms in Japan’s Primary Care Physicians Training Program. The clinical vignettes were evaluated for medical and Japanese-language accuracy by three physicians using a five-point scale. A total score of 13 points or above was defined as “sufficiently beneficial and immediately usable with minor revisions,” a score between 10 and 12 points was defined as “partly insufficient and in need of modifications,” and a score of 9 points or below was defined as “insufficient.” Regarding medical accuracy, of the 202 clinical vignettes, 118 scored 13 points or above, 78 scored between 10 and 12 points, and 6 scored 9 points or below. Regarding Japanese-language accuracy, 142 vignettes scored 13 points or above, 56 scored between 10 and 12 points, and 4 scored 9 points or below. Overall, 97% (196/202) of vignettes were available with some modifications. Overall, 97% of the clinical vignettes proved practically useful, based on confirmation and revision by Japanese medical physicians. Given the significant effort required by physicians to create vignettes without AI, using GPT is expected to greatly optimize this process.",2024-03-02,Yasutaka Yanagita; D. Yokokawa; Shun Uchida; Yu Li; Takanori Uehara; M. Ikusaka,Journal of general internal medicine,JournalArticle,12,https://www.semanticscholar.org/paper/007e6293197626599944ce734efca5ca159bba4e
Semantic Scholar,007e7d6cb64a7dfcdcad9fc6f4f0ba69fdc88203,10.1109/jiot.2024.3524255,EdgeShard: Efficient LLM Inference via Collaborative Edge Computing,"Large language models (LLMs) have shown great success in content generation and intelligent intelligent decision making for IoT systems. Traditionally, LLMs are deployed on the cloud, incurring prolonged latency, high bandwidth costs, and privacy concerns. More recently, edge computing has been considered promising in addressing such concerns because the edge devices are closer to data sources. However, edge devices are cursed by their limited resources and can hardly afford LLMs. Existing studies address such a limitation by offloading heavy workloads from edge to cloud or compressing LLMs via model quantization. These methods either still rely heavily on the remote cloud or suffer substantial accuracy loss. This work is the first to deploy LLMs on a collaborative edge computing environment, in which edge devices and cloud servers share resources and collaborate to infer LLMs with high efficiency and no accuracy loss. We design EdgeShard, a novel approach to partition a computation-intensive LLM into affordable shards and deploy them on distributed devices. The partition and distribution are nontrivial, considering device heterogeneity, bandwidth limitations, and model complexity. To this end, we formulate an adaptive joint device selection and model partition problem and design an efficient dynamic programming algorithm to optimize the inference latency and throughput. Extensive experiments of the popular Llama2 serial models on a real-world testbed reveal that EdgeShard achieves up to 50% latency reduction and $2 \times $ throughput improvement over the state-of-the-art.",2025-05-15,Mingjin Zhang; Xiaoming Shen; Jiannong Cao; Zeyang Cui; Shan Jiang,IEEE Internet of Things Journal,JournalArticle,279,https://www.semanticscholar.org/paper/007e7d6cb64a7dfcdcad9fc6f4f0ba69fdc88203
Semantic Scholar,008f84c2d5828481504d5cce64706a4c798d2d00,10.48550/arxiv.2507.19902,AgentMesh: A Cooperative Multi-Agent Generative AI Framework for Software Development Automation,"Software development is a complex, multi-phase process traditionally requiring collaboration among individuals with diverse expertise. We propose AgentMesh, a Python-based framework that uses multiple cooperating LLM-powered agents to automate software development tasks. In AgentMesh, specialized agents - a Planner, Coder, Debugger, and Reviewer - work in concert to transform a high-level requirement into fully realized code. The Planner agent first decomposes user requests into concrete subtasks; the Coder agent implements each subtask in code; the Debugger agent tests and fixes the code; and the Reviewer agent validates the final output for correctness and quality. We describe the architecture and design of these agents and their communication, and provide implementation details including prompt strategies and workflow orchestration. A case study illustrates AgentMesh handling a non-trivial development request via sequential task planning, code generation, iterative debugging, and final code review. We discuss how dividing responsibilities among cooperative agents leverages the strengths of large language models while mitigating single-agent limitations. Finally, we examine current limitations - such as error propagation and context scaling - and outline future work toward more robust, scalable multi-agent AI systems for software engineering automation.",2025-07-26,S. Khanzadeh,arXiv.org,JournalArticle; Review,12,https://www.semanticscholar.org/paper/008f84c2d5828481504d5cce64706a4c798d2d00
