source,source_id,doi,title,abstract,published,authors,venue,record_type,cited_by_count,url
Crossref,10.3389/frai.2026.1772418,10.3389/frai.2026.1772418,Toward LLM-aware software effort estimation: a conceptual framework,"<jats:p>
                    Software effort estimation has traditionally been grounded in the assumption that development cost is primarily driven by human labor, approximated through proxies such as code size, functional complexity, or perceived task difficulty. The increasing adoption of large language models (LLMs) as software development assistants challenges this assumption by automating substantial portions of reasoning, coding, and refactoring. In LLM-assisted workflows, effort increasingly shifts toward interaction management, validation, correction, and integration, leading to growing misalignment between established estimation techniques—such as COCOMO, Function Points, and Story Points—and actual development cost. This paper argues that the limitations of existing estimation models in LLM-mediated development are structural rather than parametric. When core development activities are delegated to automated reasoning systems. Through conceptual analysis supported by exploratory observations, we illustrate systematic mismatches between traditional effort estimates and LLM-assisted task execution, particularly in agile environments that rely on Story Points. To address this gap, we introduce a unified conceptual foundation for LLM-aware software effort estimation. We reconceptualize effort as
                    <jats:italic>Hybrid Intelligence Effort</jats:italic>
                    , emerging from the interaction between LLM cognitive complexity and human oversight effort. We further identify five core dimensions governing effort in LLM-assisted development: LLM reasoning complexity, context and information completeness, code transformation impact, iterative reasoning cycles, and human oversight effort. These dimensions capture cost drivers that are largely absent from conventional estimation theory. Rather than proposing a parametric estimation model, this work establishes a theoretical foundation for future empirical calibration and data-driven approaches. By redefining what constitutes effort in the presence of LLMs, the paper contributes a conceptual basis for estimation models aligned with contemporary AI-augmented software engineering practices.
                  </jats:p>",2026-03-23,Feisal Alaswad; Eswaran Poovammal; Batoul Aljaddouh,Frontiers in Artificial Intelligence,journal-article,1,https://doi.org/10.3389/frai.2026.1772418
Crossref,10.3390/electronics13234843,10.3390/electronics13234843,Enhancing Software Effort Estimation with Pre-Trained Word Embeddings: A Small-Dataset Solution for Accurate Story Point Prediction,"<jats:p>Traditional software effort estimation methods, such as term frequency–inverse document frequency (TF-IDF), are widely used due to their simplicity and interpretability. However, they struggle with limited datasets, fail to capture intricate semantics, and suffer from dimensionality, sparsity, and computational inefficiency. This study used pre-trained word embeddings, including FastText and GPT-2, to improve estimation accuracy in such cases. Seven pre-trained models were evaluated for their ability to effectively represent textual data, addressing the fundamental limitations of TF-IDF through contextualized embeddings. The results show that combining FastText embeddings with support vector machines (SVMs) consistently outperforms traditional approaches, reducing the mean absolute error (MAE) by 5–18% while achieving accuracy comparable to deep learning models like GPT-2. This approach demonstrated the adaptability of pre-trained embeddings for small datasets, balancing semantic richness with computational efficiency. The proposed method optimized project planning and resource allocation while enhancing software development through accurate story point prediction while safeguarding privacy and security through data anonymization. Future research will explore task-specific embeddings tailored to software engineering domains and investigate how dataset characteristics, such as cultural variations, influence model performance, ensuring the development of adaptable, robust, and secure machine learning models for diverse contexts.</jats:p>",2024-12-08,Issa Atoum; Ahmed Ali Otoom,Electronics,journal-article,13,https://doi.org/10.3390/electronics13234843
Crossref,10.1504/ijkesdp.2020.112630,10.1504/ijkesdp.2020.112630,Effort estimation in software development using story point: a machine learning approach,,2020,Beulah Moses; Shyam Singhal,International Journal of Knowledge Engineering and Soft Data Paradigms,journal-article,0,https://doi.org/10.1504/ijkesdp.2020.112630
Crossref,10.2139/ssrn.5041669,10.2139/ssrn.5041669,Z-Se2: A Model for Software Effort Estimation Using Llm Gpt3.5,,2024,Gabriel  Jungues Baratto; Eliane  Maria De Bortoli Fávero; Dalcimar Casanova; Jefferson  T. Oliva,,posted-content,0,https://doi.org/10.2139/ssrn.5041669
Crossref,10.12785/ijcds/1201012,10.12785/ijcds/1201012,Analysis of Software Effort Estimation Based on Story Point and Lines of Code using Machine Learning,,2022-07-01,Amrita Sharma; Neha Chaudhary,International Journal of Computing and Digital Systems,journal-article,10,https://doi.org/10.12785/ijcds/1201012
Crossref,10.12785/ijcds/120112,10.12785/ijcds/120112,Analysis of Software Effort Estimation Based on Story Point and Lines of Code using Machine Learning,,2025-04-10,Amrita Sharma; Neha Chaudhary,International Journal of Computing and Digital Systems,journal-article,1,https://doi.org/10.12785/ijcds/120112
Crossref,10.1007/s10791-026-10331-6,10.1007/s10791-026-10331-6,Hybrid intelligence effort for software effort estimation in LLM assisted development,"<jats:title>Abstract</jats:title>
                  <jats:p>Software effort estimation remains a cornerstone of project planning and control, yet existing estimation models are grounded in the assumption that software development effort is dominated by human reasoning and manual construction. The rapid integration of large language models (LLMs) into development workflows fundamentally challenges this assumption by automating substantial portions of code synthesis while shifting human effort toward supervision, validation, and integration. As a result, traditional effort estimation proxies such as Story Points and size-based metrics may no longer reliably characterize development effort. This paper presents an empirical study examining how effort manifests in LLM-assisted software development. Rather than using LLMs as predictive estimation tools, we investigate how their adoption reshapes the underlying cost structure of development work. We introduce the notion of Hybrid Intelligence Effort (HIE), conceptualizing effort as the combined burden of model-performed reasoning and human oversight activities. Using a controlled experiment involving 22 developers, 110 real-world tasks, and three LLMs, we compare the explanatory power of traditional estimation metrics against interaction- and oversight-based Hybrid Intelligence dimensions. Our results show that while Story Points retain partial explanatory validity, they fail to capture dominant sources of effort in LLM-assisted workflows. In controlled experiments, HIE dimensions increase explained variance in observed effort from approximately 72–80%, while substantially reducing systematic estimation error. Human validation and corrective intervention emerge as the primary drivers of effort, outweighing artifact-level characteristics. These findings suggest that effort estimation models must move beyond human-centric and size-based assumptions to remain effective in AI-augmented software engineering.</jats:p>",2026-07-06,Feisal Alaswad; E. Poovammal; Kadiyala Ramana; G. Surya Narayana; Arfat Ahmad Khan; Muhammad Faheem,Discover Computing,journal-article,0,https://doi.org/10.1007/s10791-026-10331-6
Crossref,10.1142/s0218194020500035,10.1142/s0218194020500035,Story Point-Based Effort Estimation Model with Machine Learning Techniques,"<jats:p> Until now, numerous effort estimation models for software projects have been developed, most of them producing accurate results but not providing the flexibility to decision makers during the software development process. The main objective of this study is to objectively and accurately estimate the effort when using the Scrum methodology. A dynamic effort estimation model is developed by using regression-based machine learning algorithms. Story point as a unit of measure is used for estimating the effort involved in an issue. Projects are divided into phases and the phases are respectively divided into iterations and issues. Effort estimation is performed for each issue, then the total effort is calculated with aggregate functions respectively for iteration, phase and project. This architecture of our model provides flexibility to decision makers in any case of deviation from the project plan. An empirical evaluation demonstrates that the error rate of our story point-based estimation model is better than others. </jats:p>",2020-01,Muaz Gultekin; Oya Kalipsiz,International Journal of Software Engineering and Knowledge Engineering,journal-article,20,https://doi.org/10.1142/s0218194020500035
Crossref,10.1109/access.2026.3671204,10.1109/access.2026.3671204,From COCOMO to GPT: A Comprehensive Evaluation of LLM-Based Software Effort Estimation,,2026,Feisal Alaswad; E. Poovammal; Batoul Aljaddouh,IEEE Access,journal-article,3,https://doi.org/10.1109/access.2026.3671204
Crossref,10.1109/icsme55016.2022.00020,10.1109/icsme55016.2022.00020,Evaluation of Context-Aware Language Models and Experts for Effort Estimation of Software Maintenance Issues,,2022-10,Mohammed Alhamed; Tim Storer,2022 IEEE International Conference on Software Maintenance and Evolution (ICSME),proceedings-article,15,https://doi.org/10.1109/icsme55016.2022.00020
