ref_no,short_name,primary_url,verification_status,manuscript_use
1,"Franc et al. 2023 reject option","https://www.jmlr.org/papers/v24/21-0048.html",verified,"Reject-cost and risk-coverage foundation"
2,"Shim et al. 2018 active feature acquisition","https://proceedings.neurips.cc/paper/2018/hash/e5841df2166dd424a57127423d276bbe-Abstract.html",verified,"Joint cost-sensitive acquisition and prediction"
3,"Li and Oliva 2025 cost-sensitive decisions","https://proceedings.mlr.press/v258/li25h.html",verified,"Active-Acquisition POMDP"
4,"Xu et al. 2026 BCEA","https://arxiv.org/abs/2606.16667",verified,"Closest budgeted acquire/abstain overlap"
5,"Chao et al. 2026 STALE","https://arxiv.org/abs/2605.06527",verified,"Implicit memory invalidation"
6,"Tao et al. 2026 MemConflict","https://arxiv.org/abs/2605.20926",verified,"Query-conditioned temporal and contextual memory validity"
7,"Liu et al. 2026 AgentAbstain","https://arxiv.org/abs/2607.10059",verified,"Paired should-act/should-abstain benchmark"
8,"Luo et al. 2026 agentic abstention","https://arxiv.org/abs/2606.28733",verified,"Sequential stopping and information gathering"
9,"Liu et al. 2026 ToolGate","https://arxiv.org/abs/2601.04688",verified,"Contract-grounded pre/postcondition verification"
10,"Winston et al. 2026 solver-aided policy","https://arxiv.org/abs/2603.20449",verified,"Pre-execution policy constraints"
11,"Ruan et al. 2024 ToolEmu","https://arxiv.org/abs/2309.15817",verified,"Tool-agent risk benchmark"
12,"Yao et al. 2024 tau-bench","https://arxiv.org/abs/2406.12045",verified,"Dynamic tool-agent-user benchmark"
13,"Lu et al. 2025 ToolSandbox","https://arxiv.org/abs/2408.04682",verified,"Stateful tool dependencies"
14,"Zhang et al. 2025 Agent-SafetyBench","https://arxiv.org/abs/2412.14470",verified,"Broad agent-safety benchmark"
15,"Mou et al. 2026 ToolSafe","https://arxiv.org/abs/2601.10156",verified,"Proactive step-level guardrail"
16,"Liu et al. 2026 SafeAgent","https://arxiv.org/abs/2604.17562",verified,"Stateful runtime protection"
