source,source_id,doi,title,abstract,published,authors,venue,record_type,cited_by_count,url
OpenAlex,https://openalex.org/W7164450288,,AI-Era Software Developer Productivity and Performance Metrics,"Generative AI is reshaping software development across the software development life cycle (SDLC), including planning, implementation, review, testing, delivery, and maintenance. By reducing the marginal cost of producing code, generative AI increases the relative importance of verification, integration, coordination, and risk management. This shift creates a measurement challenge: traditional activity proxies (e.g., lines of code, commits) can rise even when end-to-end delivery capacity is constrained by review throughput, quality assurance, and architectural fit. Building on multidimensional productivity theory (SPACE and DevEx) and empirical evidence that AI’s effects vary by task structure, developer experience, and workflow context, this study examines how organizations currently measure developer productivity in AI-assisted environments and how practitioners believe measurement should evolve. We report results from an anonymous mixed methods survey conducted in February 2026, combining descriptive statistics with thematic coding of open-ended responses. Respondents expressed only moderate confidence that current metrics reflect performance under AI assistance and reported widespread reliance on easy-to-instrument volume measures. In contrast, they strongly preferred AI-era indicators that capture effectiveness of AI usage, time saved, task complexity, and the verification and integration work increasingly central to developer contribution. A large majority favored portfolio-based evaluation to reduce gaming and preserve tradeoffs between speed, quality, and impact. We conclude that AI-era productivity should be assessed as system delivery under verification and coordination constraints, not as individual output volume.",2026-08-15,Elaine Luo; Hong Guo,Journal of the Association for Information Systems,article,0,https://aisel.aisnet.org/cgi/viewcontent.cgi?article=1022&context=amcis2026
OpenAlex,https://openalex.org/W7203456728,10.5281/zenodo.21929389,"The Impact of Artificial Intelligence on Software Engineering:Productivity, Code Quality, Security, and the Changing Role of Software Engineers","The Impact of Artificial Intelligence on Software Engineering:Productivity, Code Quality, Security, and the Changing Role of Software Engineers Muzaffar AbdukadirovSoftware Engineering · 2026 Abstract Artificial intelligence (AI) coding assistants are changing how software engineers write, review, test, and maintain software. This paper examines the effects of AI-assisted development across four areas: developer productivity, code quality, software security, and the changing responsibilities of software engineers. The study uses a focused literature review of recent empirical studies and industry research, supplemented by practical observations from software development. Existing evidence suggests that AI can substantially reduce effort for some coding tasks, but the magnitude of the benefit depends on task complexity, developer experience, workflow, and the quality of the surrounding engineering system. Research also shows that faster code generation does not necessarily imply better overall software delivery. AI-generated output can require additional verification, testing, security review, and integration work. The paper therefore argues that AI shifts engineering effort from code production toward problem definition, verification, architectural judgment, security assessment, and maintenance. Rather than eliminating software engineering fundamentals, AI increases the value of skills that allow engineers to evaluate and control generated output. Keywords Artificial Intelligence; AI-Assisted Programming; Software Engineering; Developer Productivity; Code Quality; Software Security; Code Review 1. Introduction Artificial intelligence has become an increasingly visible part of modern software development. Coding assistants can generate functions, explain unfamiliar code, suggest tests, produce documentation, analyze errors, and support refactoring. These capabilities have changed the speed at which developers can move from an idea to an initial implementation. However, faster code generation does not automatically mean better software engineering. The central issue is therefore not whether AI can write code, but how AI changes the distribution of engineering work. A recent longitudinal study of professional software engineers reported that participants spent less time on many development activities and described a broader shift from creation toward verification and correction. The researchers characterized this emerging work as supervisory engineering. [1] At the same time, other controlled research has found that AI effects are highly dependent on the development context. For example, an early-2025 randomized study by METR found that experienced open-source developers took longer on the studied tasks when AI tools were available, demonstrating that perceived productivity gains cannot be assumed to apply to every workflow. [2] This paper analyzes the opportunities and risks of AI-assisted software development and argues that the engineer's responsibility remains central. AI can accelerate implementation, but requirements analysis, architecture, validation, security, and accountability still require human judgment. 2. Methodology This paper uses a focused literature-review approach. Recent academic studies, empirical research reports, and industry research concerning AI-assisted software development were examined for evidence related to productivity, developer experience, code quality, security, and engineering practices. Sources were selected for their direct relevance to software development and for providing empirical observations rather than purely speculative commentary. The analysis does not claim to be a systematic review or meta-analysis. Instead, it synthesizes selected recent evidence with practical software-engineering observations to identify recurring patterns and implications for developers and engineering teams. Because AI systems and developer workflows are changing rapidly, findings from individual studies should be interpreted within their specific experimental context rather than generalized to all software development. 3. AI and Developer Productivity AI can create substantial productivity gains for well-defined programming tasks. In a controlled GitHub Copilot experiment involving 95 professional developers, the Copilot group completed the assigned HTTP-server task 55% faster on average and had a higher completion rate than the control group. [3] Such results demonstrate that AI can reduce the time required for certain implementation tasks. However, productivity is not a single measurable property of software engineering. A developer may generate a function quickly while spending additional time understanding, testing, correcting, integrating, or reviewing the result. METR's randomized controlled trial provides an important counterexample: in the early-2025 setting studied, experienced open-source developers using AI took 19% longer on the selected tasks. [2] METR later reported that its subsequent experiment was affected by selection effects and provided weak evidence about the size of current AI speedups. [4] These findings suggest that AI productivity should be evaluated at the level of complete engineering workflows rather than by measuring only the time needed to generate code. Task familiarity, repository complexity, AI-tool quality, developer experience, and the cost of verification can all influence the final outcome. 4. From Writing Code to Directing and Verifying Work As code generation becomes easier, developers increasingly spend time defining problems, providing context, reviewing suggestions, and integrating changes into existing systems. The longitudinal study by Vella and Blincoe found that 82% of participants reported spending less time writing code and identified a broader movement toward verification activities. [1] This shift changes the practical role of the engineer. A developer must understand requirements before prompting an AI system, recognize incorrect assumptions in generated output, and determine whether a proposed implementation fits the architecture. A useful AI response is therefore not the final product; it is an input into an engineering process. 5. Code Quality and Technical Debt AI-generated code can be syntactically correct and functionally plausible while still being unsuitable for production. Problems may include weak test coverage, unnecessary dependencies, duplicated logic, inconsistent architectural patterns, and poor maintainability. Research from METR comparing algorithmic evaluation with manual review found examples in which AI agents produced functionally correct code that was not easy to use as-is because of issues involving tests, formatting, linting, and general code quality. [5] This creates a risk of shallow development: the volume of implementation increases faster than the team's understanding of the system. When developers accept large generated changes without tracing their behavior, they may struggle to reason about failure cases, concurrency, performance, and long-term maintenance. AI should therefore be used with small, reviewable changes and clear engineering constraints. Generated code should be evaluated against the project's architecture and conventions rather than accepted solely because it passes a basic functional test. 6. Security and Privacy Security is one of the areas where human review remains particularly important. AI-generated implementations can contain incorrect security assumptions involving authentication, authorization, input validation, database queries, secrets, file handling, and infrastructure. A 2026 empirical study of 44 developers working with security APIs found that AI assistance improved functional correctness but did not significantly improve secure API usage. The researchers also found that developers frequently did not recognize that their final implementations remained insecure. [6] Earlier qualitative research involving software professionals similarly found widespread use of AI assistants for security-related tasks while emphasizing the need to critically check AI suggestions. [7] Privacy must also be considered before using an AI service. Source code, customer information, credentials, internal architecture, and incident data may be restricted by organizational policy or contractual requirements. Engineers should understand the data-handling rules of the AI service they use and should never expose secrets simply to obtain a convenient answer. 7. Code Review Becomes More Important When code generation becomes cheaper, verification can become a bottleneck. Effective review of AI-assisted code should therefore examine both correctness and context. Reviewers should ask whether the implementation satisfies the actual business requirement, follows the existing architecture, handles invalid input and failure, respects authorization boundaries, and remains maintainable. Automated engineering controls can provide additional protection. Static analysis, type checking, dependency scanning, formatting, unit tests, integration tests, and continuous integration pipelines can identify common problems early. These controls do not replace human judgment, but they can make the verification process more reliable as the volume of generated code increases. 8. Skills That Become More Valuable System design Engineers need to understand service boundaries, data ownership, scalability, reliability, and architectural trade-offs. AI can suggest patterns, but it does not possess the complete historical and organizational context of a system. Debugging Generated code will fail in some situations. Reproduction, observation, hypothesis formation, log analysis, and independent verification remain fundamental engineering skills. Communication Clear requirements and constraints improve results whether the audience is a teammate or an AI assistant. Engineers who communicate precisely can direct",2026-08-14,Abduqodirov Muzaffar,Zenodo (CERN European Organization for Nuclear Research),article,0,https://doi.org/10.5281/zenodo.21929389
OpenAlex,https://openalex.org/W7203457012,10.5281/zenodo.21929388,"The Impact of Artificial Intelligence on Software Engineering:Productivity, Code Quality, Security, and the Changing Role of Software Engineers","The Impact of Artificial Intelligence on Software Engineering:Productivity, Code Quality, Security, and the Changing Role of Software Engineers Muzaffar AbdukadirovSoftware Engineering · 2026 Abstract Artificial intelligence (AI) coding assistants are changing how software engineers write, review, test, and maintain software. This paper examines the effects of AI-assisted development across four areas: developer productivity, code quality, software security, and the changing responsibilities of software engineers. The study uses a focused literature review of recent empirical studies and industry research, supplemented by practical observations from software development. Existing evidence suggests that AI can substantially reduce effort for some coding tasks, but the magnitude of the benefit depends on task complexity, developer experience, workflow, and the quality of the surrounding engineering system. Research also shows that faster code generation does not necessarily imply better overall software delivery. AI-generated output can require additional verification, testing, security review, and integration work. The paper therefore argues that AI shifts engineering effort from code production toward problem definition, verification, architectural judgment, security assessment, and maintenance. Rather than eliminating software engineering fundamentals, AI increases the value of skills that allow engineers to evaluate and control generated output. Keywords Artificial Intelligence; AI-Assisted Programming; Software Engineering; Developer Productivity; Code Quality; Software Security; Code Review 1. Introduction Artificial intelligence has become an increasingly visible part of modern software development. Coding assistants can generate functions, explain unfamiliar code, suggest tests, produce documentation, analyze errors, and support refactoring. These capabilities have changed the speed at which developers can move from an idea to an initial implementation. However, faster code generation does not automatically mean better software engineering. The central issue is therefore not whether AI can write code, but how AI changes the distribution of engineering work. A recent longitudinal study of professional software engineers reported that participants spent less time on many development activities and described a broader shift from creation toward verification and correction. The researchers characterized this emerging work as supervisory engineering. [1] At the same time, other controlled research has found that AI effects are highly dependent on the development context. For example, an early-2025 randomized study by METR found that experienced open-source developers took longer on the studied tasks when AI tools were available, demonstrating that perceived productivity gains cannot be assumed to apply to every workflow. [2] This paper analyzes the opportunities and risks of AI-assisted software development and argues that the engineer's responsibility remains central. AI can accelerate implementation, but requirements analysis, architecture, validation, security, and accountability still require human judgment. 2. Methodology This paper uses a focused literature-review approach. Recent academic studies, empirical research reports, and industry research concerning AI-assisted software development were examined for evidence related to productivity, developer experience, code quality, security, and engineering practices. Sources were selected for their direct relevance to software development and for providing empirical observations rather than purely speculative commentary. The analysis does not claim to be a systematic review or meta-analysis. Instead, it synthesizes selected recent evidence with practical software-engineering observations to identify recurring patterns and implications for developers and engineering teams. Because AI systems and developer workflows are changing rapidly, findings from individual studies should be interpreted within their specific experimental context rather than generalized to all software development. 3. AI and Developer Productivity AI can create substantial productivity gains for well-defined programming tasks. In a controlled GitHub Copilot experiment involving 95 professional developers, the Copilot group completed the assigned HTTP-server task 55% faster on average and had a higher completion rate than the control group. [3] Such results demonstrate that AI can reduce the time required for certain implementation tasks. However, productivity is not a single measurable property of software engineering. A developer may generate a function quickly while spending additional time understanding, testing, correcting, integrating, or reviewing the result. METR's randomized controlled trial provides an important counterexample: in the early-2025 setting studied, experienced open-source developers using AI took 19% longer on the selected tasks. [2] METR later reported that its subsequent experiment was affected by selection effects and provided weak evidence about the size of current AI speedups. [4] These findings suggest that AI productivity should be evaluated at the level of complete engineering workflows rather than by measuring only the time needed to generate code. Task familiarity, repository complexity, AI-tool quality, developer experience, and the cost of verification can all influence the final outcome. 4. From Writing Code to Directing and Verifying Work As code generation becomes easier, developers increasingly spend time defining problems, providing context, reviewing suggestions, and integrating changes into existing systems. The longitudinal study by Vella and Blincoe found that 82% of participants reported spending less time writing code and identified a broader movement toward verification activities. [1] This shift changes the practical role of the engineer. A developer must understand requirements before prompting an AI system, recognize incorrect assumptions in generated output, and determine whether a proposed implementation fits the architecture. A useful AI response is therefore not the final product; it is an input into an engineering process. 5. Code Quality and Technical Debt AI-generated code can be syntactically correct and functionally plausible while still being unsuitable for production. Problems may include weak test coverage, unnecessary dependencies, duplicated logic, inconsistent architectural patterns, and poor maintainability. Research from METR comparing algorithmic evaluation with manual review found examples in which AI agents produced functionally correct code that was not easy to use as-is because of issues involving tests, formatting, linting, and general code quality. [5] This creates a risk of shallow development: the volume of implementation increases faster than the team's understanding of the system. When developers accept large generated changes without tracing their behavior, they may struggle to reason about failure cases, concurrency, performance, and long-term maintenance. AI should therefore be used with small, reviewable changes and clear engineering constraints. Generated code should be evaluated against the project's architecture and conventions rather than accepted solely because it passes a basic functional test. 6. Security and Privacy Security is one of the areas where human review remains particularly important. AI-generated implementations can contain incorrect security assumptions involving authentication, authorization, input validation, database queries, secrets, file handling, and infrastructure. A 2026 empirical study of 44 developers working with security APIs found that AI assistance improved functional correctness but did not significantly improve secure API usage. The researchers also found that developers frequently did not recognize that their final implementations remained insecure. [6] Earlier qualitative research involving software professionals similarly found widespread use of AI assistants for security-related tasks while emphasizing the need to critically check AI suggestions. [7] Privacy must also be considered before using an AI service. Source code, customer information, credentials, internal architecture, and incident data may be restricted by organizational policy or contractual requirements. Engineers should understand the data-handling rules of the AI service they use and should never expose secrets simply to obtain a convenient answer. 7. Code Review Becomes More Important When code generation becomes cheaper, verification can become a bottleneck. Effective review of AI-assisted code should therefore examine both correctness and context. Reviewers should ask whether the implementation satisfies the actual business requirement, follows the existing architecture, handles invalid input and failure, respects authorization boundaries, and remains maintainable. Automated engineering controls can provide additional protection. Static analysis, type checking, dependency scanning, formatting, unit tests, integration tests, and continuous integration pipelines can identify common problems early. These controls do not replace human judgment, but they can make the verification process more reliable as the volume of generated code increases. 8. Skills That Become More Valuable System design Engineers need to understand service boundaries, data ownership, scalability, reliability, and architectural trade-offs. AI can suggest patterns, but it does not possess the complete historical and organizational context of a system. Debugging Generated code will fail in some situations. Reproduction, observation, hypothesis formation, log analysis, and independent verification remain fundamental engineering skills. Communication Clear requirements and constraints improve results whether the audience is a teammate or an AI assistant. Engineers who communicate precisely can direct",2026-08-14,Abduqodirov Muzaffar,Zenodo (CERN European Organization for Nuclear Research),article,0,https://doi.org/10.5281/zenodo.21929388
OpenAlex,https://openalex.org/W7202163869,10.70286/eoss-10.08.2026.002.70-75,BENCHMARKING MACHINE LEARNING ALGORITHMS FOR STORY POINT PREDICTION USING SEMANTIC EMBEDDINGS,"The estimation of Story Points is an important component of sprint planning in Agile software development. However, expert-based estimation may be affected by subjectivity, differences in team experience, and limited communication in remote and distributed teams. This study presents a comparative evaluation of machine learning methods for Story Point prediction using semantic embeddings generated from textual task descriptions. The experiments were conducted on the publicly available TAWOS dataset containing issue reports from multiple Agile software projects. Task titles and descriptions were combined into a unified textual representation and transformed into fixed-length semantic vectors using the pre-trained text-embedding-3-small model. The resulting embeddings were used as input features for eight regression methods: ElasticNet, Random Forest, ExtraTrees, XGBoost, LightGBM, CatBoost, K-Nearest Neighbors, and a multilayer perceptron. Model performance was evaluated using Mean Absolute Error, Median Absolute Error, and Standardized Accuracy relative to a random baseline. The experimental results revealed substantial differences between the evaluated algorithms. K-Nearest Neighbors achieved the lowest Median Absolute Error and the highest Standardized Accuracy, while CatBoost obtained the lowest Mean Absolute Error. ExtraTrees also demonstrated balanced performance across all evaluation metrics. The findings confirm that semantic embeddings contain informative representations of task descriptions and can be effectively combined with different machine learning methods for Story Point prediction. The proposed comparative analysis can support the selection of suitable regression algorithms for decision-support tools used during Agile sprint planning.",2026-08-10,Vladyslav Shkoda,,article,0,https://doi.org/10.70286/eoss-10.08.2026.002.70-75
OpenAlex,https://openalex.org/W7202163205,10.48550/arxiv.2608.08400,Empirical Analysis of Cloud-Edge Infrastructure Complexity: Practitioner Pain Points and Architectural Directions,"The proliferation of cloud, edge, and Internet of Things (IoT) computing has created unprecedented opportunities for distributed applications. However, this architectural shift introduces profound infrastructural complexity, acting as a significant barrier to developer productivity and innovation. In this paper, we present an empirical analysis based on 101 semi-structured interviews across 86 organizations to investigate the state of cloud-native development practices, pain points, and expectations. Our findings quantitatively validate that deployment complexity (38.6%) and onboarding difficulty (35.6%) are the dominant operational bottlenecks, while developers heavily prioritize productivity (53.5%) and automation (44.6%) over raw performance optimization. Based on these empirical insights, we examine four architectural directions that address the validated pain points: unified object abstractions (Object-as-a-Service), platform engineering via Internal Developer Platforms, declarative AI/ML serving pipelines, and lightweight edge runtimes based on WebAssembly. Furthermore, we detail the multi-stakeholder ecosystem required for adopting novel infrastructure paradigms, emphasizing that security, operational integration, and strict multi-tenant isolation are prerequisites for production readiness. Our results demonstrate that the primary barrier to distributed computing adoption is not execution performance but infrastructural complexity, and that declaratively governed, higher-level abstractions across multiple paradigms offer viable architectural paths toward alleviating it.",2026-08-09,Pawissanutt Lertpongrujikorn; Hai Duc Nguyen; Mohsen Amini Salehi,arXiv (Cornell University),preprint,0,https://arxiv.org/abs/2608.08400
OpenAlex,https://openalex.org/W7172422139,10.6084/m9.figshare.33139910.v1,Software Sustainability track @ Argonne Training Program on Extreme-Scale Computing summer school (2026),"The BSSw tutorial focuses on issues of developer productivity, software sustainability, and reproducibility in scientific research software, particularly targeting high-performance computers.",2026-08-04,David E. Bernholdt,Open MIND,other,0,https://bssw-tutorial.github.io/2026-08-05-atpesc
OpenAlex,https://openalex.org/W7172470608,10.6084/m9.figshare.33139910,Software Sustainability track @ Argonne Training Program on Extreme-Scale Computing summer school (2026),"The BSSw tutorial focuses on issues of developer productivity, software sustainability, and reproducibility in scientific research software, particularly targeting high-performance computers.",2026-08-04,David E. Bernholdt,Figshare,article,0,https://doi.org/10.6084/m9.figshare.33139910
OpenAlex,https://openalex.org/W7172439902,10.48550/arxiv.2608.02582,ACEM: A Cost Estimation Model for Agentic Software Engineering,"Traditional software cost estimation models, such as COCOMO II, Function Points, and Story Points, assume that development effort is primarily driven by human labor in design, coding, and testing. Agentic software engineering, where autonomous AI agents perform substantial implementation work and humans focus on planning, specification, and validation, challenges this assumption. New cost dimensions arise: large language model (LLM) token consumption across agent actions, Human-in-the-Loop (HITL) oversight effort, and infrastructure costs for agent orchestration and tooling. These costs are nondeterministic: identical tasks may consume different tokens, follow divergent reasoning paths, and require varying human correction, phenomena absent in traditional development. A new framework is needed to bridge standard sizing metrics with this cost structure. This paper proposes ACEM (Agentic Cost Estimation Model), which decomposes total agentic development cost into three additive dimensions: LLM, HITL, and infrastructure cost. ACEM introduces three constructs for agentic dynamics: the Revision Factor (RF), modeling token overhead from output rejection and retries; the Context Factor (CF), capturing rising token consumption as context accumulates; and the HITL Intensity Score (HIS), a four-level oversight classification scheme. It further maps Use Case Points, Story Points, and Function Points to estimated token consumption, enabling organizations to reuse existing project-scoping data for agentic cost forecasting. ACEM is presented as a fully specified model structure and calibration methodology, with constants left symbolic pending empirical grounding. As an early-stage proposal, it invites the research community to calibrate, test, and extend the model through real project data.",2026-08-03,Mohammad El-Ramly,arXiv (Cornell University),preprint,0,https://doi.org/10.48550/arxiv.2608.02582
OpenAlex,https://openalex.org/W7197053748,,ACEM: A Cost Estimation Model for Agentic Software Engineering,"Traditional software cost estimation models, such as COCOMO II, Function Points, and Story Points, assume that development effort is primarily driven by human labor in design, coding, and testing. Agentic software engineering, where autonomous AI agents perform substantial implementation work and humans focus on planning, specification, and validation, challenges this assumption. New cost dimensions arise: large language model (LLM) token consumption across agent actions, Human-in-the-Loop (HITL) oversight effort, and infrastructure costs for agent orchestration and tooling. These costs are nondeterministic: identical tasks may consume different tokens, follow divergent reasoning paths, and require varying human correction, phenomena absent in traditional development. A new framework is needed to bridge standard sizing metrics with this cost structure. This paper proposes ACEM (Agentic Cost Estimation Model), which decomposes total agentic development cost into three additive dimensions: LLM, HITL, and infrastructure cost. ACEM introduces three constructs for agentic dynamics: the Revision Factor (RF), modeling token overhead from output rejection and retries; the Context Factor (CF), capturing rising token consumption as context accumulates; and the HITL Intensity Score (HIS), a four-level oversight classification scheme. It further maps Use Case Points, Story Points, and Function Points to estimated token consumption, enabling organizations to reuse existing project-scoping data for agentic cost forecasting. ACEM is presented as a fully specified model structure and calibration methodology, with constants left symbolic pending empirical grounding. As an early-stage proposal, it invites the research community to calibrate, test, and extend the model through real project data.",2026-08-03,Mohammad El-Ramly,arXiv (Cornell University),preprint,0,https://arxiv.org/abs/2608.02582
OpenAlex,https://openalex.org/W7172222489,10.5281/zenodo.21762192,"Self-Evolving APIs: A Framework for AI-Driven Middleware that Autonomously Refactors, Optimizes, and Documents Endpoints from Real Time","APIs serve as critical contracts connecting modern distributed systems, directly impacting reliability, performance, cost, and developer productivity. Current API evolution remains largely manual: engineers detect usage changes via logs, plan breaking changes, refactor code and clients, and update documentation. This process is slow, error-prone, and poorly suited to continuously changing environments. This study proposes self-evolving API middleware that leverages telemetry to detect usage shifts, automatically propose and apply safe refactoring, reconfigure runtime behavior, and maintain synchronized documentation. The framework presented here combines continuous telemetry ingestion, LLM-driven refactoring recommendations, reinforcement learning for runtime policy tuning, and an explainability layer for auditable automated changes. The approach reduces mean time to remediation by 86%, lowers operational costs by 28%, and minimizes compatibility incidents while preserving developer intent and safety.",2026-08-02,Yash Prakash Balpande; Ashvinkumar Ranvirsingh Aavachar; Siris Krishna Bharadwaj; Janhavi Yogesh Soyam; Neha Khadse; Dr. Praful Nandankar,Zenodo (CERN European Organization for Nuclear Research),article,0,https://doi.org/10.5281/zenodo.21762192
