source,source_id,doi,title,abstract,published,authors,venue,record_type,cited_by_count,url
Semantic Scholar,00df35ff13c1f49a34ef129fa0dfad8e4c8eb4bb,10.1142/s0218194026500464,A Novel Framework for Software Project Effort Estimation using LLMs and RAG,"Accurate software project effort estimation remains a persistent challenge due to the limitations of traditional models in capturing rich contextual information from project artifacts. Conventional approaches such as COCOMO II and machine learning models primarily rely on structured numerical features, often ignoring the semantic depth present in Software Requirements Specification (SRS) documents. This gap leads to suboptimal estimation performance, particularly in early project stages. To address this limitation, this paper proposes a novel framework that integrates Large Language Models (LLMs) with Retrieval-Augmented Generation (RAG) for context-aware software effort estimation. The proposed system leverages SRS documents to extract structured attributes, converts historical project data into semantic embeddings, and retrieves similar past projects using vector similarity search. These retrieved analogues are then utilized by a reasoning-based LLM to generate effort predictions grounded in both contextual and historical evidence. The framework is evaluated on the ISBSG dataset using both traditional error metrics and RAG-specific evaluation measures. Experimental results demonstrate that the proposed approach achieves an MMRE of 10.74%, outperforming baseline models including COCOMO II [4], Random Forest, and Support Vector Regression under identical preprocessing settings. Additional analysis using RAGAS metrics shows high context precision (0.9760) and competitive answer correctness (0.7020), validating the effectiveness of the retrieval-generation pipeline. The results highlight the potential of combining LLMs with retrieval mechanisms to bridge the gap between unstructured requirements and quantitative estimation, offering a scalable and interpretable solution for modern software project planning.",2026-06-12,S. Islam; Shazia Arshad; Abdul Jaleel,International journal of software engineering and knowledge engineering,JournalArticle,0,https://www.semanticscholar.org/paper/00df35ff13c1f49a34ef129fa0dfad8e4c8eb4bb
Semantic Scholar,06f96aa4b12ca7d174e50bb0cd0b9291e58b8315,10.1007/s10791-026-10331-6,Hybrid intelligence effort for software effort estimation in LLM assisted development,"Software effort estimation remains a cornerstone of project planning and control, yet existing estimation models are grounded in the assumption that software development effort is dominated by human reasoning and manual construction. The rapid integration of large language models (LLMs) into development workflows fundamentally challenges this assumption by automating substantial portions of code synthesis while shifting human effort toward supervision, validation, and integration. As a result, traditional effort estimation proxies such as Story Points and size-based metrics may no longer reliably characterize development effort. This paper presents an empirical study examining how effort manifests in LLM-assisted software development. Rather than using LLMs as predictive estimation tools, we investigate how their adoption reshapes the underlying cost structure of development work. We introduce the notion of Hybrid Intelligence Effort (HIE), conceptualizing effort as the combined burden of model-performed reasoning and human oversight activities. Using a controlled experiment involving 22 developers, 110 real-world tasks, and three LLMs, we compare the explanatory power of traditional estimation metrics against interaction- and oversight-based Hybrid Intelligence dimensions. Our results show that while Story Points retain partial explanatory validity, they fail to capture dominant sources of effort in LLM-assisted workflows. In controlled experiments, HIE dimensions increase explained variance in observed effort from approximately 72–80%, while substantially reducing systematic estimation error. Human validation and corrective intervention emerge as the primary drivers of effort, outweighing artifact-level characteristics. These findings suggest that effort estimation models must move beyond human-centric and size-based assumptions to remain effective in AI-augmented software engineering.",2026-07-06,Feisal Alaswad; E. Poovammal; Kadiyala Ramana; G. S. Narayana; A. Khan; Muhammad Faheem,,JournalArticle,1,https://www.semanticscholar.org/paper/06f96aa4b12ca7d174e50bb0cd0b9291e58b8315
Semantic Scholar,0822c4a06481a5271f9c19433a04b2b2abc5a0cb,10.1109/aicconf69182.2026.11600668,Comparative Evaluation of Large Language Models on Agile Story Point Estimation,"Agile effort estimation is a necessary but chaotic part of the modern software development lifecycle. The popular human estimation method Planning Poker is disrupted by cognitive biases such as anchoring and over-optimism. This results in a large documentation debt and frequently missing the mark on deliveries. This paper presents the first comparative study of state-of-the-art Large Language Models (LLMs) Claude Opus 4.6, Gemini 2.5 Pro, GPT-5.2, and GPT-5.3 Codex in the area of automatic Agile-relevant story point estimation. The introduction of a new ""Uncertainty-Based Step-Up Heuristic"" method is designed to reverse the perennial underestimating of technical difficulty in natural language specifications. To validate the method, I utilized a real business dataset consisting of data from several agile sprints, processed through a customized Model Context Protocol (MCP) server template. The result reveals that although general-purpose reasoning LLMs like Claude Opus 4.6 can achieve a 60.7% exact match accuracy after calibration, domain-specific high code models like Codex indicate an ""Over-Correction Paradox"" as technical uncertainty scales. The study also uncovers a ""Small Task Blindspot"" and presents a simple to understand counterexample of why majority-vote ensemble techniques should mostly not be used in the complex verification logic. This research is the foundation of the closed-loop AI led agile orchestration that raises the bar above the real-time demands of autonomous verification and artifact synchronization.",2026-04-24,Özgen Erbakan,,Conference,0,https://www.semanticscholar.org/paper/0822c4a06481a5271f9c19433a04b2b2abc5a0cb
Semantic Scholar,2d0c1ffe8839731ac5cb978b0f7c893bde3f5606,10.1109/cai64502.2025.00120,Multimodal Generative AI for Story Point Estimation,"This research explores Multimodal Generative AI for Agile story point estimation, integrating text, images, and categorical data with BERT, CNN, and XGBoost to enhance project planning. While effective for simpler estimates, challenges with complex cases due to data imbalance highlight the need for tailored strategies. Findings underscore multimodal AI's impact on Agile decision-making and suggest future improvements in data handling and model robustness.",2025-05-05,Mohammad Rubyet Islam; Peter Sandborn,Conference on Algebraic Informatics,JournalArticle; Conference,2,https://www.semanticscholar.org/paper/2d0c1ffe8839731ac5cb978b0f7c893bde3f5606
Semantic Scholar,512b73e10ad675e850346cef2edb5354f709a8c3,10.1109/seaa64295.2024.00036,Predicting Software Functional Size Using Natural Language Processing: An Exploratory Case Study,"Software Size Measurement (SSM) plays an essential role in software project management as it enables the acquisition of software size, which is the primary input for development effort and schedule estimation. However, many small and medium-sized companies cannot perform objective SSM and Software Effort Estimation (SEE) due to the lack of resources and an expert workforce. This results in inadequate estimates and projects exceeding the planned time and budget. Therefore, organizations need to perform objective SSM and SEE using minimal resources without an expert workforce. In this research, we conducted an exploratory case study to predict the functional size of software project requirements using state-of-the-art large language models (LLMs). For this aim, we fine-tuned BERT and BERT_SE with a set of user stories and their respective functional size in COSMIC Function Points (CFP). We gathered the user stories included in different project requirement documents. In total size prediction, we achieved 72.8% accuracy with BERT and 74.4% accuracy with BERT_SE. In data movement-based size prediction, we achieved 87.5% average accuracy with BERT and 88.1% average accuracy with BERT_SE. Although we use relatively small datasets in model training, these results are promising and hold significant value as they demonstrate the practical utility of language models in SSM.",2024-08-28,Hüseyin Ünlü; Samet Tenekeci; Can Çiftçi; İbrahim Baran Oral; Tunahan Atalay; Tuna Hacaloğlu; Burcu Musaoğlu; Onur Demirörs,EUROMICRO Conference on Software Engineering and Advanced Applications,JournalArticle; Conference,6,https://www.semanticscholar.org/paper/512b73e10ad675e850346cef2edb5354f709a8c3
Semantic Scholar,68f972872c5db3964feb2cc07044162b78ea2bff,10.48550/arxiv.2603.06276,Story Point Estimation Using Large Language Models,"This study investigates the use of large language models (LLMs) for story point estimation. Story points are unitless, project-specific effort estimates that help developers on the scrum team forecast which product backlog items they plan to complete in a sprint. To facilitate this process, machine learning models, especially deep neural networks, have been applied to predict the story points based on the title and description of each item. However, such machine learning models require sufficient amounts of training data (with ground truth story points annotated by human developers) from the same software project to achieve decent prediction performance. This motivated us to explore whether LLMs are capable of (RQ1) predicting story points without training data or (RQ2) with only a few training data points. Our empirical results with four LLMs on 16 software projects show that, without any training data (zero-shot prompting), LLMs can predict story points better than supervised deep learning models trained on 80% of the data. The prediction performance of LLMs can be further improved with a few training examples (few-shot prompting). In addition, a recent study explored the use of comparative judgments (between a given pair of items which one requires more effort to implement) instead of directly annotating the story points to reduce the cognitive burden on developers. Therefore, this study also explores (RQ3) whether comparative judgments are easier to predict than story points for LLMs and (RQ4) whether comparative judgments can serve as few-shot examples for LLMs to improve their predictions of story points. Empirical results suggest that it is not easier for LLMs to predict comparative judgments than to directly estimate the story points, but comparative judgments can serve as few-shot examples to improve the LLMs'prediction performance as well as the human-annotated story points.",2026-03-06,P. Shetty; A. Balakrishnan; Mengqiao Xu; Xiaoyin Xi; Zhe Yu,arXiv.org,JournalArticle,0,https://www.semanticscholar.org/paper/68f972872c5db3964feb2cc07044162b78ea2bff
Semantic Scholar,72b1a78ce2aed514d3eb38631582ee49474e5095,10.1007/978-3-031-48796-5_9,Search-Based Optimisation of LLM Learning Shots for Story Point Estimation,"One of the ways Large Language Models (LLMs) are used to perform machine learning tasks is to provide them with a few examples before asking them to produce a prediction. This is a meta-learning process known as few-shot learning. In this paper, we use available Search-Based methods to optimise the number and combination of examples that can improve an LLM's estimation performance, when it is used to estimate story points for new agile tasks. Our preliminary results show that our SBSE technique improves the estimation performance of the LLM by 59.34% on average (in terms of mean absolute error of the estimation) over three datasets against a zero-shot setting.",2024-03-13,Vali Tawosi; Salwa Alamir; Xiaomo Liu,International Symposium on Search Based Software Engineering,JournalArticle,14,https://www.semanticscholar.org/paper/72b1a78ce2aed514d3eb38631582ee49474e5095
Semantic Scholar,7f9e919bac8a957f6194b289e6449aa0bee06fd0,10.1109/access.2026.3671204,From COCOMO to GPT: A Comprehensive Evaluation of LLM-Based Software Effort Estimation,"Accurate software effort estimation remains a critical yet challenging task in software engineering. While recent advances in Large Language Models (LLMs) have demonstrated impressive capabilities across a wide range of software engineering activities, their effectiveness for effort estimation has not been systematically evaluated. This paper presents a comprehensive empirical benchmark comparing zero-shot LLM-based estimation with classical Machine Learning (ML) models and transformer-based regression approaches across two complementary settings: textual story-point estimation and structured project-level effort estimation. We evaluate multiple model families on two large-scale story-point datasets (Agile and NEO) and five widely adopted project-level datasets (Desharnais, COCOMO81, NASA93, Maxwell, and Kitchenham). Predictive accuracy is assessed across all datasets. The story-point benchmark further analyzes cross-project generalization, linguistic robustness, computational cost, and human–AI interaction effects, whereas the project-level benchmark evaluates robustness under noise injection, missing-value stress testing, and feature ablation. Experimental results show that off-the-shelf LLMs operating in zero-shot settings consistently underperform task-specific ML and transformer-based regression models in terms of absolute accuracy and cost efficiency. Classical ML models remain the most reliable estimators for structured datasets, while fine-tuned transformer regressors achieve the best performance on textual story-point estimation. Despite their lower numerical accuracy, LLMs demonstrate relatively low sensitivity to linguistic variation and may influence human judgment through persuasive explanations, as suggested by the exploratory human–LLM interaction study. These findings suggest that zero-shot LLMs may be suited as qualitative decision-support tools rather than as autonomous effort estimators. Overall, this work highlights the importance of architectural alignment, cost-aware evaluation, and human-centered considerations when deploying AI models for software effort estimation.",2026,Feisal Alaswad; Ieee E. POOVAMMAL Senior Member; And Batoul Aljaddouh,IEEE Access,JournalArticle,4,https://www.semanticscholar.org/paper/7f9e919bac8a957f6194b289e6449aa0bee06fd0
Semantic Scholar,8f333232dc91f208b2944bbf5bc0be149cc2637e,10.3389/frai.2026.1772418,Toward LLM-aware software effort estimation: a conceptual framework,"Software effort estimation has traditionally been grounded in the assumption that development cost is primarily driven by human labor, approximated through proxies such as code size, functional complexity, or perceived task difficulty. The increasing adoption of large language models (LLMs) as software development assistants challenges this assumption by automating substantial portions of reasoning, coding, and refactoring. In LLM-assisted workflows, effort increasingly shifts toward interaction management, validation, correction, and integration, leading to growing misalignment between established estimation techniques—such as COCOMO, Function Points, and Story Points—and actual development cost. This paper argues that the limitations of existing estimation models in LLM-mediated development are structural rather than parametric. When core development activities are delegated to automated reasoning systems. Through conceptual analysis supported by exploratory observations, we illustrate systematic mismatches between traditional effort estimates and LLM-assisted task execution, particularly in agile environments that rely on Story Points. To address this gap, we introduce a unified conceptual foundation for LLM-aware software effort estimation. We reconceptualize effort as Hybrid Intelligence Effort, emerging from the interaction between LLM cognitive complexity and human oversight effort. We further identify five core dimensions governing effort in LLM-assisted development: LLM reasoning complexity, context and information completeness, code transformation impact, iterative reasoning cycles, and human oversight effort. These dimensions capture cost drivers that are largely absent from conventional estimation theory. Rather than proposing a parametric estimation model, this work establishes a theoretical foundation for future empirical calibration and data-driven approaches. By redefining what constitutes effort in the presence of LLMs, the paper contributes a conceptual basis for estimation models aligned with contemporary AI-augmented software engineering practices.",2026-03-23,Feisal Alaswad; E. Poovammal; Batoul Aljaddouh,Frontiers in Artificial Intelligence,Review; JournalArticle,2,https://www.semanticscholar.org/paper/8f333232dc91f208b2944bbf5bc0be149cc2637e
Semantic Scholar,95f13103c24320d52be41133c710c5b7a5453a51,10.1109/access.2026.3708443,A Trustworthiness-Oriented Approach to Story Point Estimation for Agile Planning: Worthy-SP as a Task-Specific Estimator Built on Frozen Compact LLM Backbones,"Story point estimation supports agile planning, but point accuracy alone does not show whether an estimator provides useful confidence information, behavior-relevant rationales, or practical deployment-cost evidence. This paper proposes a trustworthiness-oriented approach to story point estimation for agile planning. At the center of this approach is Worthy-SP, a task-specific story point estimator built on frozen compact LLM backbones. Within the proposed approach, Worthy-SP operationalizes legal-class distributional prediction, parameter-efficient task adaptation, rationale generation, deletion–sufficiency behavioral diagnostics, and cost-aware evaluation under a frozen-backbone compact-LLM setting. The approach is evaluated on five cleaned TAWOS-derived project-level datasets using prompt-only controls, head-only trained baselines, Worthy-SP, and additional prediction baselines including TF-IDF+LightGBM, MiniLM+MLP, and CodeBERT-FT under a shared label space and chronological evaluation protocol. Across paired project–backbone–seed scenarios, Worthy-SP reduces mean MAE relative to the head-only trained baseline by approximately 4.4% and reduces the reported snapped-ECE after temperature scaling by approximately 16% under this proxy. The results indicate that task-specific training is necessary for compact-LLM-based story point estimation and that the proposed approach remains competitive in prediction while adding distributional outputs, rationale diagnostics, and deployment-cost evidence.",2026,Xuwei Guo; Z. Mansor; Liangyu Li; Xiaoyan Zhao,IEEE Access,JournalArticle,0,https://www.semanticscholar.org/paper/95f13103c24320d52be41133c710c5b7a5453a51
