source,source_id,doi,title,abstract,published,authors,venue,record_type,cited_by_count,url
Semantic Scholar,0001046b3be464278fa266aa85de726d05460790,10.15680/ijirset.2025.1403120,AI-Powered Code Completion Tools and Their Impact on Developer Productivity,"AI-powered code completion tools, such as GitHub Copilot, have revolutionized software development
by automating repetitive coding tasks and providing real-time code suggestions. This paper explores the impact of these
tools on developer productivity, focusing on their ability to reduce development time, improve code quality, and
enhance overall efficiency. Through a review of existing literature, case studies, and experimental data, we analyze the
benefits and challenges of AI-assisted coding. The findings reveal that developers using tools like GitHub Copilot
complete tasks significantly faster, with a reported 55.8% reduction in completion time in controlled experiments .
However, challenges such as dependency on AI-generated code, occasional inaccuracies, and security concerns remain.
This paper concludes with recommendations for future enhancements and research directions to maximize the potential
of AI-powered code completion tools in software development.",2025-03-20,C. K. Gomathy; S. Anirudh,International Journal of Innovative Research in Science Engineering and Technology,JournalArticle; Review,1,https://www.semanticscholar.org/paper/0001046b3be464278fa266aa85de726d05460790
Semantic Scholar,00422e426c5c1592f75754045c75ecb254db0739,10.3390/s25175322,Model of an Open-Source MicroPython Library for GSM NB-IoT,"The growing adoption of the Internet of Things (IoT) demands scalable, energy-efficient communication for autonomous devices. Narrowband IoT (NB-IoT), as a low-power wide-area technology, offers reliable connectivity but remains difficult to integrate in MicroPython systems due to the absence of high-level GSM libraries. This paper introduces a modular, object-oriented MicroPython library that abstracts AT command handling, automates network configuration, and supports protocols such as MQTT and Blynk. The architecture features a layered, hardware-agnostic core and device-specific adapters, enhancing portability and extensibility. The library includes structured exception handling and automated retries to improve system reliability. Empirical validation using a Raspberry Pi Pico and SIM7020E module in a typical IoT scenario demonstrated an up to 81% reduction in implementation time. By providing a reusable and extensible framework, this work improves developer productivity, enhances error resilience, and establishes a solid foundation for rapid NB-IoT application development. Future directions include cross-hardware validation and AI-assisted code and test generation.",2025-08-27,Antonii Lupandin; Volodymyr Kopieikin; Maksym Khruslov; Iryna Artyshchuk; R. Shevchuk,Italian National Conference on Sensors,JournalArticle,0,https://www.semanticscholar.org/paper/00422e426c5c1592f75754045c75ecb254db0739
Semantic Scholar,008f84c2d5828481504d5cce64706a4c798d2d00,10.48550/arxiv.2507.19902,AgentMesh: A Cooperative Multi-Agent Generative AI Framework for Software Development Automation,"Software development is a complex, multi-phase process traditionally requiring collaboration among individuals with diverse expertise. We propose AgentMesh, a Python-based framework that uses multiple cooperating LLM-powered agents to automate software development tasks. In AgentMesh, specialized agents - a Planner, Coder, Debugger, and Reviewer - work in concert to transform a high-level requirement into fully realized code. The Planner agent first decomposes user requests into concrete subtasks; the Coder agent implements each subtask in code; the Debugger agent tests and fixes the code; and the Reviewer agent validates the final output for correctness and quality. We describe the architecture and design of these agents and their communication, and provide implementation details including prompt strategies and workflow orchestration. A case study illustrates AgentMesh handling a non-trivial development request via sequential task planning, code generation, iterative debugging, and final code review. We discuss how dividing responsibilities among cooperative agents leverages the strengths of large language models while mitigating single-agent limitations. Finally, we examine current limitations - such as error propagation and context scaling - and outline future work toward more robust, scalable multi-agent AI systems for software engineering automation.",2025-07-26,S. Khanzadeh,arXiv.org,JournalArticle; Review,12,https://www.semanticscholar.org/paper/008f84c2d5828481504d5cce64706a4c798d2d00
Semantic Scholar,00df35ff13c1f49a34ef129fa0dfad8e4c8eb4bb,10.1142/s0218194026500464,A Novel Framework for Software Project Effort Estimation using LLMs and RAG,"Accurate software project effort estimation remains a persistent challenge due to the limitations of traditional models in capturing rich contextual information from project artifacts. Conventional approaches such as COCOMO II and machine learning models primarily rely on structured numerical features, often ignoring the semantic depth present in Software Requirements Specification (SRS) documents. This gap leads to suboptimal estimation performance, particularly in early project stages. To address this limitation, this paper proposes a novel framework that integrates Large Language Models (LLMs) with Retrieval-Augmented Generation (RAG) for context-aware software effort estimation. The proposed system leverages SRS documents to extract structured attributes, converts historical project data into semantic embeddings, and retrieves similar past projects using vector similarity search. These retrieved analogues are then utilized by a reasoning-based LLM to generate effort predictions grounded in both contextual and historical evidence. The framework is evaluated on the ISBSG dataset using both traditional error metrics and RAG-specific evaluation measures. Experimental results demonstrate that the proposed approach achieves an MMRE of 10.74%, outperforming baseline models including COCOMO II [4], Random Forest, and Support Vector Regression under identical preprocessing settings. Additional analysis using RAGAS metrics shows high context precision (0.9760) and competitive answer correctness (0.7020), validating the effectiveness of the retrieval-generation pipeline. The results highlight the potential of combining LLMs with retrieval mechanisms to bridge the gap between unstructured requirements and quantitative estimation, offering a scalable and interpretable solution for modern software project planning.",2026-06-12,S. Islam; Shazia Arshad; Abdul Jaleel,International journal of software engineering and knowledge engineering,JournalArticle,0,https://www.semanticscholar.org/paper/00df35ff13c1f49a34ef129fa0dfad8e4c8eb4bb
Semantic Scholar,011e10d8de4cce18497731c6f1ef1081d96c8380,10.48550/arxiv.2505.14200,Capturing the Effects of Quantization on Trojans in Code LLMs,"Large language models of code exhibit high capability in performing diverse software engineering tasks, such as code translation, defect detection, text-to-code generation, and code summarization. While their ability to enhance developer productivity has spurred widespread use, these models have also seen substantial growth in size, often reaching billions of parameters. This scale demands efficient memory resource usage, prompting practitioners to use optimization techniques such as model quantization. Quantization uses smaller bit representations for the model parameters, reducing the precision of the weights. In this work, we investigate the impact of quantization on the risk of data poisoning attacks on these models, specifically examining whether it mitigates or exacerbates such vulnerabilities. We focus on two large language models, Meta's Llama-2-7b and CodeLlama-7b, applied to an SQL code generation task. Additionally, we introduce a new metric for measuring trojan signals in compromised models. We find that quantization has differing effects on code-generating LLMs: while reducing precision does not significantly alter Llama-2's behavior, it boosts performance and reduces attack success rates in CodeLlama, particularly at 4-bit precision.",2025-05-20,Aftab Hussain; Sadegh AlMahdi Kazemi Zarkouei; Md Rafiqul Islam Rabin; Mohammad Amin Alipour; Sen Lin; Bowen Xu,arXiv.org,JournalArticle,1,https://www.semanticscholar.org/paper/011e10d8de4cce18497731c6f1ef1081d96c8380
Semantic Scholar,0182514f6db322445966b1a35e72256f96bb9d35,10.22214/ijraset.2026.79005,RefactorAI: An Autonomous Code Modernization Agent,"Legacy software systems form the backbone of many organizations, yet over time they accumulate significant technical
debt due to outdated architectures, inefficient design patterns, and evolving business requirements. This technical debt increases
maintenance costs, reduces system scalability, and slows down innovation. Manual code review and refactoring processes are
often time-consuming, error-prone, and heavily dependent on developer expertise, making large-scale modernization a
challenging task. To address these limitations, this project proposes RefactorAI, an autonomous code modernization agent
designed to intelligently analyze, refactor, and modernize legacy codebases with minimal human intervention. RefactorAI
integrates static code analysis techniques with advanced Artificial Intelligence methods, including Abstract Syntax Trees (ASTs),
dependency graphs, Graph Neural Networks (GNNs), and Large Language Models (LLMs). The system begins by parsing the
source code to extract structural and semantic information, constructing a comprehensive architectural and dependency model
of the codebase. Using this representation, the agent identifies technical debt indicators such as tightly coupled modules, code
smells, and inefficient design patterns. An LLM-powered reasoning engine then analyzes these insights to generate strategic
refactoring recommendations, including component restructuring and architectural improvements such as monolith
decomposition. Beyond analysis and planning, RefactorAI autonomously generates modernized, syntactically correct code
snippets for targeted components, ensuring alignment with contemporary software development practices. This end-to-end
automation significantly reduces the manual effort required for software maintenance while improving code quality, scalability,
and architectural integrity. The proposed system serves as a proof-of-concept demonstrating how AI-driven tools can accelerate
the software modernization lifecycle, enhance developer productivity, and enable organizations to extend the lifespan and value
of their legacy systems. Ultimately, RefactorAI aims to empower development teams to maintain high software velocity while
effectively managing technical debt in complex, real-world applications.",2026-04-30,Dr. H. Venkateswara Reddy,International Journal for Research in Applied Science and Engineering Technology,JournalArticle; Review,0,https://www.semanticscholar.org/paper/0182514f6db322445966b1a35e72256f96bb9d35
Semantic Scholar,033b934bafa666b21d02047de5af6d00b9e983e1,10.48550/arxiv.2309.12813,Automatically Testing Functional Properties of Code Translation Models,"Large language models are becoming increasingly practical for translating code across programming languages, a process known as transpiling. Even though automated transpilation significantly boosts developer productivity, a key concern is whether the generated code is correct. Existing work initially used manually crafted test suites to test the translations of a small corpus of programs; these test suites were later automated. In contrast, we devise the first approach for automated, functional, property-based testing of code translation models. Our general, user-provided specifications about the transpiled code capture a range of properties, from purely syntactic to purely semantic ones. As shown by our experiments, this approach is very effective in detecting property violations in popular code translation models, and therefore, in evaluating model quality with respect to given properties. We also go a step further and explore the usage scenario where a user simply aims to obtain a correct translation of some code with respect to certain properties without necessarily being concerned about the overall quality of the model. To this purpose, we develop the first property-guided search procedure for code translation models, where a model is repeatedly queried with slightly different parameters to produce alternative and potentially more correct translations. Our results show that this search procedure helps to obtain significantly better code translations.",2023-09-07,Hasan Ferit Eniser; Valentin Wüstholz; M. Christakis,AAAI Conference on Artificial Intelligence,JournalArticle; Conference,10,https://www.semanticscholar.org/paper/033b934bafa666b21d02047de5af6d00b9e983e1
Semantic Scholar,03e489b1f5f2d351ef2f7948b31a41c9fab42535,10.63883/ijsrisjournal.v5i3.737,"Modern methods of analysis, software design and emerging implementation tools: challenges, opportunities and prospects","Software engineering is undergoing a phase of rapid transformation driven by the combined influence of agile methods, DevOps, cloud computing, microservices architectures and generative artificial intelligence. This article analyses the evolution of software analysis and design methods, compares traditional and modern approaches, examines emerging implementation tools and discusses the technical, human and economic challenges, with a particular focus on the contexts of developing countries and the DRC. 
  
The findings point to four main conclusions: 
 
Agile methods now dominate modern software projects thanks to their ability to adapt to changing requirements. 
Microservices architectures improve scalability and resilience, at the cost of greater operational complexity. 
Generative AI boosts developers’ productivity (code generation, testing, documentation), but raises issues relating to governance, security and quality. 
Low-code/no-code platforms accelerate application prototyping and delivery, whilst limiting customisation and portability. 
 
By 2030, organisations that combine AI-assisted software engineering, automated DevOps, well-managed distributed architectures and continuous team training are expected to reap the most significant gains in terms of quality, time-to-market and maintainability. 
Keywords: Software engineering; Software analysis; Software design; Agile methods; DevOps; Generative artificial intelligence; Microservices; Digital transformation. 
  
  
  
Received Date: April 21, 2026 
Accepted Date: May 12, 2026 
Published Date: June 01, 2026 
Available Online at: https://www.ijsrisjournal.com/index.php/ojsfiles/article/view/737",2026-06-01,Blaise Kapalala Kapenda; Merveille Bonte Kassongo; Dan Lukoki Tulanda; Trésor Mbuyamba Mbuyamba,,JournalArticle,0,https://www.semanticscholar.org/paper/03e489b1f5f2d351ef2f7948b31a41c9fab42535
Semantic Scholar,05bccbc8007cef45c1edb7e7e93bfe26ecd898ab,10.48550/arxiv.2604.05955,Does Pass Rate Tell the Whole Story? Evaluating Design Constraint Compliance in LLM-based Issue Resolution,"Repository-level issue resolution benchmarks have become a standard testbed for evaluating LLM-based agents, yet success is still predominantly measured by test pass rates. In practice, however, acceptable patches must also comply with project-specific design constraints, such as architectural conventions, error-handling policies, and maintainability requirements, which are rarely encoded in tests and are often documented only implicitly in code review discussions. This paper introduces \textit{design-aware issue resolution} and presents \bench{}, a benchmark that makes such implicit design constraints explicit and measurable. \bench{} is constructed by mining and validating design constraints from real-world pull requests, linking them to issue instances, and automatically checking patch compliance using an LLM-based verifier, yielding 495 issues and 1,787 validated constraints across six repositories, aligned with SWE-bench-Verified and SWE-bench-Pro. Experiments with state-of-the-art agents show that test-based correctness substantially overestimates patch quality: fewer than half of resolved issues are fully design-satisfying, design violations are widespread, and functional correctness exhibits negligible statistical association with design satisfaction. While providing issue-specific design guidance reduces violations, substantial non-compliance remains, highlighting a fundamental gap in current agent capabilities and motivating design-aware evaluation beyond functional correctness.",2026-04-07,Kai Yu; Zhenhao Zhou; Junhao Zeng; Ying Wang; Xueying Du; Zhiqiang Yuan; Junwei Liu; Ziyu Zhou; Yujia Wang; Chong Wang; Xin Peng,arXiv.org,JournalArticle; Review,2,https://www.semanticscholar.org/paper/05bccbc8007cef45c1edb7e7e93bfe26ecd898ab
Semantic Scholar,06764a1560c0b7c3c5c6f205fd87f53c21c75fff,10.48550/arxiv.2601.13713,SWE-Tester: Training Open-Source LLMs for Issue Reproduction in Real-World Repositories,"Software testing is crucial for ensuring the correctness and reliability of software systems. Automated generation of issue reproduction tests from natural language issue descriptions enhances developer productivity by simplifying root cause analysis, promotes test-driven development --""test first, write code later"", and can be used for improving the effectiveness of automated issue resolution systems like coding agents. Existing methods proposed for this task predominantly rely on closed-source LLMs, with limited exploration of open models. To address this, we propose SWE-Tester -- a novel pipeline for training open-source LLMs to generate issue reproduction tests. First, we curate a high-quality training dataset of 41K instances from 2.6K open-source GitHub repositories and use it to train LLMs of varying sizes and families. The fine-tuned models achieve absolute improvements of up to 10\% in success rate and 21\% in change coverage on SWT-Bench Verified. Further analysis shows consistent improvements with increased inference-time compute, more data, and larger models. These results highlight the effectiveness of our framework for advancing open-source LLMs in this domain.",2026-01-20,Aditya Bharat Soni; Rajat Ghosh; Vaishnavi Bhargava; Valerie Chen; Debojyoti Dutta,arXiv.org,JournalArticle,3,https://www.semanticscholar.org/paper/06764a1560c0b7c3c5c6f205fd87f53c21c75fff
