source,source_id,doi,title,abstract,published,authors,venue,record_type,cited_by_count,url
OpenAlex,https://openalex.org/W4226278401,10.48550/arxiv.2203.02155,Training language models to follow instructions with human feedback,"Making language models bigger does not inherently make them better at following a user's intent. For example, large language models can generate outputs that are untruthful, toxic, or simply not helpful to the user. In other words, these models are not aligned with their users. In this paper, we show an avenue for aligning language models with user intent on a wide range of tasks by fine-tuning with human feedback. Starting with a set of labeler-written prompts and prompts submitted through the OpenAI API, we collect a dataset of labeler demonstrations of the desired model behavior, which we use to fine-tune GPT-3 using supervised learning. We then collect a dataset of rankings of model outputs, which we use to further fine-tune this supervised model using reinforcement learning from human feedback. We call the resulting models InstructGPT. In human evaluations on our prompt distribution, outputs from the 1.3B parameter InstructGPT model are preferred to outputs from the 175B GPT-3, despite having 100x fewer parameters. Moreover, InstructGPT models show improvements in truthfulness and reductions in toxic output generation while having minimal performance regressions on public NLP datasets. Even though InstructGPT still makes simple mistakes, our results show that fine-tuning with human feedback is a promising direction for aligning language models with human intent.",2022-03-04,Long Ouyang; Jeff Wu; Xu Jiang; Diogo Almeida; Carroll L. Wainwright; Pamela Mishkin; Chong Zhang; Sandhini Agarwal; Katarina Slama; Alex Ray; John Schulman; Jacob Hilton; Fraser Kelton; Luke E. Miller; Maddie Simens; Amanda Askell; Peter Welinder; Paul Christiano; Jan Leike; Ryan Lowe,arXiv (Cornell University),preprint,4324,http://arxiv.org/abs/2203.02155
OpenAlex,https://openalex.org/W4327672398,10.5281/zenodo.7636568,Speculative futures on ChatGPT and generative artificial intelligence (AI): A collective reflection from the educational landscape,"While ChatGPT has recently become very popular, AI has a long history and philosophy. This paper intends to explore the promises and pitfalls of the Generative Pre-trained Transformer (GPT) AI and potentially future technologies by adopting a speculative methodology. Speculative future narratives with a specific focus on educational contexts are provided in an attempt to identify emerging themes and discuss their implications for education in the 21st century. Affordances of (using) AI in Education (AIEd) and possible adverse effects are identified and discussed which emerge from the narratives. It is argued that now is the best of times to define human vs AI contribution to education because AI can accomplish more and more educational activities that used to be the prerogative of human educators. Therefore, it is imperative to rethink the respective roles of technology and human educators in education with a future-oriented mindset.",2023-02-13,Aras Bozkurt; J. Xiao; Steven Imanuel Lambert; A. Pazurek; H. Crompton; S. Koseoglu; Robert Farrow; Melissa Bond; Chrissi Nerantzi; Selina Honeychurch; Maha Bali; Jon Dron; Kamran Mir; Bonnie Stewart; Eamon Costello; Jon Mason; Christian M. Stracke; E. Romero-Hall; A. Koutropoulos; C. M. Toquero; L. Singh; A. Tlili; Kyungmee Lee; Mark Nichols; E. Ossiannilsson; M. Brown; V. Irvine; Juliana Elisa Raffaghelli; G. Santos-Hermosa; Orna Farrell; T. Adam; Y. L. Thong; S. Sani-Bozkurt; R. C. Sharma; Stefan Hrastinski; Petar Jandrić,Dublin City University Open Access Institutional Repository (Dublin City University),article,333,https://doras.dcu.ie/28544/1/Speculative%20Futures%20on%20ChatGPT%202023.pdf
OpenAlex,https://openalex.org/W4226399820,10.48550/arxiv.2201.08239,LaMDA: Language Models for Dialog Applications,"We present LaMDA: Language Models for Dialog Applications. LaMDA is a family of Transformer-based neural language models specialized for dialog, which have up to 137B parameters and are pre-trained on 1.56T words of public dialog data and web text. While model scaling alone can improve quality, it shows less improvements on safety and factual grounding. We demonstrate that fine-tuning with annotated data and enabling the model to consult external knowledge sources can lead to significant improvements towards the two key challenges of safety and factual grounding. The first challenge, safety, involves ensuring that the model's responses are consistent with a set of human values, such as preventing harmful suggestions and unfair bias. We quantify safety using a metric based on an illustrative set of human values, and we find that filtering candidate responses using a LaMDA classifier fine-tuned with a small amount of crowdworker-annotated data offers a promising approach to improving model safety. The second challenge, factual grounding, involves enabling the model to consult external knowledge sources, such as an information retrieval system, a language translator, and a calculator. We quantify factuality using a groundedness metric, and we find that our approach enables the model to generate responses grounded in known sources, rather than responses that merely sound plausible. Finally, we explore the use of LaMDA in the domains of education and content recommendations, and analyze their helpfulness and role consistency.",2022-01-20,Romal Thoppilan; Daniel De Freitas; Jamie Hall; Noam Shazeer; Apoorv Kulshreshtha; Heng-Tze Cheng; Alicia Jin; Taylor Bos; Leslie L. Baker; Yu Du; YaGuang Li; Hongrae Lee; Huaixiu Zheng; Amin Ghafouri; Marcelo Menegali; Yanping Huang; Maxim Krikun; Dmitry Lepikhin; James Qin; Dehao Chen; Yuanzhong Xu; Zhifeng Chen; Adam Roberts; Maarten Bosma; Vincent Zhao; Yanqi Zhou; Chung-Ching Chang; Igor Krivokon; Will Rusch; Marc Pickett; Pranesh Srinivasan; Laichee Man; K.S. Meier-Hellstern; Meredith Ringel Morris; Tulsee Doshi; Renelito Delos Santos; Toju Duke; Johnny Hartz Søraker; Ben Zevenbergen; Vinodkumar Prabhakaran; Mark Díaz; Ben Hutchinson; Kristen Olson; Alejandra Molina; Erin Hoffman-John; Josh Lee; Lora Aroyo; Ravi Rajakumar; Alena Butryna; Matthew S. Lamm; Viktoriya Kuzmina; Joe Fenton; Aaron J. Cohen; Rachel Bernstein; Ray Kurzweil; Blaise Aguera-Arcas; Claire Cui; Marian Croak; Ed H.; Quoc V. Le,arXiv (Cornell University),preprint,707,http://arxiv.org/abs/2201.08239
OpenAlex,https://openalex.org/W4401671778,10.1007/s10462-024-10888-y,"Large language models (LLMs): survey, technical frameworks, and future challenges","Artificial intelligence (AI) has significantly impacted various fields. Large language models (LLMs) like GPT-4, BARD, PaLM, Megatron-Turing NLG, Jurassic-1 Jumbo etc., have contributed to our understanding and application of AI in these domains, along with natural language processing (NLP) techniques. This work provides a comprehensive overview of LLMs in the context of language modeling, word embeddings, and deep learning. It examines the application of LLMs in diverse fields including text generation, vision-language models, personalized learning, biomedicine, and code generation. The paper offers a detailed introduction and background on LLMs, facilitating a clear understanding of their fundamental ideas and concepts. Key language modeling architectures are also discussed, alongside a survey of recent works employing LLM methods for various downstream tasks across different domains. Additionally, it assesses the limitations of current approaches and highlights the need for new methodologies and potential directions for significant advancements in this field.",2024-08-18,Pranjal Kumar,Artificial Intelligence Review,article,341,https://doi.org/10.1007/s10462-024-10888-y
OpenAlex,https://openalex.org/W4389636360,10.1162/coli_a_00502,Can Large Language Models Transform Computational Social Science?,"Abstract Large language models (LLMs) are capable of successfully performing many language processing tasks zero-shot (without training data). If zero-shot LLMs can also reliably classify and explain social phenomena like persuasiveness and political ideology, then LLMs could augment the computational social science (CSS) pipeline in important ways. This work provides a road map for using LLMs as CSS tools. Towards this end, we contribute a set of prompting best practices and an extensive evaluation pipeline to measure the zero-shot performance of 13 language models on 25 representative English CSS benchmarks. On taxonomic labeling tasks (classification), LLMs fail to outperform the best fine-tuned models but still achieve fair levels of agreement with humans. On free-form coding tasks (generation), LLMs produce explanations that often exceed the quality of crowdworkers’ gold references. We conclude that the performance of today’s LLMs can augment the CSS research pipeline in two ways: (1) serving as zero-shot data annotators on human annotation teams, and (2) bootstrapping challenging creative generation tasks (e.g., explaining the underlying attributes of a text). In summary, LLMs are posed to meaningfully participate in social science analysis in partnership with humans.",2023-12-12,Caleb Ziems; William A. Held; Omar Ahmed Shaikh; Jiaao Chen; Zhehao Zhang; Diyi Yang,Computational Linguistics,article,466,https://doi.org/10.1162/coli_a_00502
OpenAlex,https://openalex.org/W4361866125,10.48550/arxiv.2303.17564,BloombergGPT: A Large Language Model for Finance,"The use of NLP in the realm of financial technology is broad and complex, with applications ranging from sentiment analysis and named entity recognition to question answering. Large Language Models (LLMs) have been shown to be effective on a variety of tasks; however, no LLM specialized for the financial domain has been reported in literature. In this work, we present BloombergGPT, a 50 billion parameter language model that is trained on a wide range of financial data. We construct a 363 billion token dataset based on Bloomberg's extensive data sources, perhaps the largest domain-specific dataset yet, augmented with 345 billion tokens from general purpose datasets. We validate BloombergGPT on standard LLM benchmarks, open financial benchmarks, and a suite of internal benchmarks that most accurately reflect our intended usage. Our mixed dataset training leads to a model that outperforms existing models on financial tasks by significant margins without sacrificing performance on general LLM benchmarks. Additionally, we explain our modeling choices, training process, and evaluation methodology. We release Training Chronicles (Appendix C) detailing our experience in training BloombergGPT.",2023-03-30,Shijie Wu; Ozan İrsoy; Steven Lu; Vadim Dabravolski; Mark Dredze; Sebastian Gehrmann; Prabhanjan Kambadur; David Rosenberg; Gideon Mann,RePEc: Research Papers in Economics,preprint,305,http://arxiv.org/pdf/2303.17564
OpenAlex,https://openalex.org/W4413183883,10.64152/10125/73570,Distributed agency in second language learning and teaching through generative AI,"Generative AI offers significant opportunities for language learning. Tools like ChatGPT provide second language practice through chats in written or voice formats, with the learner specifying through prompts conversational parameters. AI can be instructed to give corrective feedback and create practice exercises. Using AI, instructors can build learning and assessment materials in a variety of media. Generative AI provides affordances for both autonomous and instructed learning. In addition, AI is poised to enhance dramatically the usefulness of immersive technologies. For both learners and teachers, it is important to understand the limitations of AI systems that arise from their statistical model of human language, which constrains their capacity for dealing with sociocultural aspects of language use. Additionally, there are ethical concerns over how AI systems are created and deployed, as well as practical constraints in their use, especially for less privileged populations. Nevertheless, the power and versatility of AI tools are likely to turn them into constant companions in many people’s lives, creating a close connection that goes beyond simple tool use. Ecological theories such as sociomaterialism are helpful in examining the shared agency that develops through close user-AI interactions, as are the perspectives on human-tool relationships from Indigenous cultures.",2024-06-01,Robert Godwin‐Jones,Language learning & technology,article,93,https://doi.org/10.64152/10125/73570
OpenAlex,https://openalex.org/W4386081573,10.48550/arxiv.2308.10620,Large Language Models for Software Engineering: A Systematic Literature Review,"Large Language Models (LLMs) have significantly impacted numerous domains, including Software Engineering (SE). Many recent publications have explored LLMs applied to various SE tasks. Nevertheless, a comprehensive understanding of the application, effects, and possible limitations of LLMs on SE is still in its early stages. To bridge this gap, we conducted a systematic literature review (SLR) on LLM4SE, with a particular focus on understanding how LLMs can be exploited to optimize processes and outcomes. We select and analyze 395 research papers from January 2017 to January 2024 to answer four key research questions (RQs). In RQ1, we categorize different LLMs that have been employed in SE tasks, characterizing their distinctive features and uses. In RQ2, we analyze the methods used in data collection, preprocessing, and application, highlighting the role of well-curated datasets for successful LLM for SE implementation. RQ3 investigates the strategies employed to optimize and evaluate the performance of LLMs in SE. Finally, RQ4 examines the specific SE tasks where LLMs have shown success to date, illustrating their practical contributions to the field. From the answers to these RQs, we discuss the current state-of-the-art and trends, identifying gaps in existing research, and flagging promising areas for future study. Our artifacts are publicly available at https://github.com/xinyi-hou/LLM4SE_SLR.",2023-08-21,Xinyi Hou; Yanjie Zhao; Yue Liu; Yang Zhou; Kailong Wang; Li Li; Xiapu Luo; David Lo; John Grundy; Haoyu Wang,arXiv (Cornell University),review,116,http://arxiv.org/abs/2308.10620
OpenAlex,https://openalex.org/W4405827891,10.1007/s44267-024-00065-8,An overview of large AI models and their applications,"Abstract In recent years, large-scale artificial intelligence (AI) models have become a focal point in technology, attracting widespread attention and acclaim. Notable examples include Google’s BERT and OpenAI’s GPT, which have scaled their parameter sizes to hundreds of billions or even tens of trillions. This growth has been accompanied by a significant increase in the amount of training data, significantly improving the capabilities and performance of these models. Unlike previous reviews, this paper provides a comprehensive discussion of the algorithmic principles of large-scale AI models and their industrial applications from multiple perspectives. We first outline the evolutionary history of these models, highlighting milestone algorithms while exploring their underlying principles and core technologies. We then evaluate the challenges and limitations of large-scale AI models, including computational resource requirements, model parameter inflation, data privacy concerns, and specific issues related to multi-modal AI models, such as reliance on text-image pairs, inconsistencies in understanding and generation capabilities, and the lack of true “multi-modality”. Various industrial applications of these models are also presented. Finally, we discuss future trends, predicting further expansion of model scale and the development of cross-modal fusion. This study provides valuable insights to inform and inspire future future research and practice.",2024-12-27,Xiaoguang Tu; Zhimin He; Yi Huang; Zhihao Zhang; Ming Yang; Jian Zhao,Visual Intelligence,article,68,https://doi.org/10.1007/s44267-024-00065-8
OpenAlex,https://openalex.org/W4389913593,10.1145/3637875,The AI Ghostwriter Effect: When Users do not Perceive Ownership of AI-Generated Text but Self-Declare as Authors,"Human-AI interaction in text production increases complexity in authorship. In two empirical studies (n1 = 30 &amp; n2 = 96), we investigate authorship and ownership in human-AI collaboration for personalized language generation. We show an AI Ghostwriter Effect : Users do not consider themselves the owners and authors of AI-generated text but refrain from publicly declaring AI authorship. Personalization of AI-generated texts did not impact the AI Ghostwriter Effect , and higher levels of participants’ influence on texts increased their sense of ownership. Participants were more likely to attribute ownership to supposedly human ghostwriters than AI ghostwriters, resulting in a higher ownership-authorship discrepancy for human ghostwriters. Rationalizations for authorship in AI ghostwriters and human ghostwriters were similar. We discuss how our findings relate to psychological ownership and human-AI interaction to lay the foundations for adapting authorship frameworks and user interfaces in AI in text-generation tasks.",2023-12-18,Fiona Draxler; Anna Werner; Florian Lehmann; Matthias Hoppe; Albrecht Schmidt; Daniel Buschek; Robin Welsch,ACM Transactions on Computer-Human Interaction,article,152,https://doi.org/10.1145/3637875
