candidate_id,left_canonical_id,right_canonical_id,title_similarity,abstract_similarity,first_author_key,year_delta,decision,rationale,reviewer_id,decided_at_utc
PAIR-067aaa40ca192961,CAN-09e12141a098f7bc9a41,CAN-9abaddd48193dd43da85,0.834286,1.000000,anonymous author s,0,consolidate,"Both reports belong to an approved, explicitly reasoned multi-report group.",d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-06bbb0954384894f,CAN-79b5056f22633e68c10d,CAN-32cef85026edc30a1e8c,0.733668,1.000000,anonymous,0,consolidate,"Both reports belong to an approved, explicitly reasoned multi-report group.",d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-0dc8e4463da4fe6b,CAN-f272f35d15d0e5eb60af,CAN-66ed53a651c37948259e,0.311111,0.986072,sheriff adepoju,0,consolidate,"Both reports belong to an approved, explicitly reasoned multi-report group.",d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-117c48284125c9f0,CAN-7478ece040e9ed80bff1,CAN-db1e15fdb9ef3f6bbbc4,0.946903,0.000000,harshith vaddiparthy,0,keep_separate,Different evaluated Claude model/version and no shared abstract evidence.,d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-1f094a0b9bd67c4f,CAN-98a3fc547677995b9abc,CAN-2f6414c31d8b09c9aa6b,0.197531,1.000000,arunima chaudhary,0,consolidate,"Both reports belong to an approved, explicitly reasoned multi-report group.",d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-20683cb1e6076d9d,CAN-f272f35d15d0e5eb60af,CAN-2f73260072efe2737f50,0.311111,0.986072,sheriff adepoju,0,consolidate,"Both reports belong to an approved, explicitly reasoned multi-report group.",d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-29419428774068f8,CAN-638aef7ed5924b18400b,CAN-fe8f718a490057fce143,0.602273,1.000000,fernando prieto bustamante,0,consolidate,"Both reports belong to an approved, explicitly reasoned multi-report group.",d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-29e6e3a06f62b129,CAN-12e1efb46bf97050c0b3,CAN-6e2d2c0970f6cd4f612e,0.996078,0.000000,nelson herrera herrera,0,consolidate,"Both reports belong to an approved, explicitly reasoned multi-report group.",d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-399ea725e87db9bd,CAN-515e27a0f830002ed9c7,CAN-ff9a821fc45915d69e26,0.609524,0.995188,vania linette mendez morales,1,consolidate,"Both reports belong to an approved, explicitly reasoned multi-report group.",d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
PAIR-3b9839b02485dd04,CAN-f272f35d15d0e5eb60af,CAN-0cbde805a5987632c3e2,0.311111,0.986072,sheriff adepoju,0,consolidate,"Both reports belong to an approved, explicitly reasoned multi-report group.",d07-study-family-consolidation/1.0.0,2026-08-16T09:15:11Z
