claim_id,manuscript_claim,evidence_source,evidence_locator,claim_status,permitted_wording
C01,"RAER v1 failed its registered safe-completion gate","evaluation/results/validation_v1.0/decision_gate.json","decision and safe_completion fields",verified,"RAER v1 failed its registered validation gate"
C02,"RAER v1 safe completion was 8/11 and FIXED_0.20 was 11/11","evaluation/results/validation_v1.0/policy_summary.csv","RAER and FIXED_0.20 rows",verified,"Report exact counts and rates"
C03,"The v2 objective and grid were frozen before aggregate results","evaluation/v2/RAER_V2_PRE_EXECUTION_LOCK_v1.0.json","status and files",verified,"Prospectively frozen before aggregate v2 results"
C04,"The v2 grid contained 80 configurations","evaluation/v2/RAER_V2_METHOD_SPECIFICATION_v1.0.json","candidate_grid",verified,"80 prospectively specified configurations"
C05,"The v2 design evaluation used 72 exposed cases and six domain-held-out folds","evaluation/v2/RAER_V2_PROSPECTIVE_DESIGN_PLAN_v1.0.json","data_boundary and nested_design_procedure",verified,"Non-confirmatory design-only evaluation"
C06,"RAER v2 safe completion was 25/27","evaluation/v2/results_design_v1.0/v2_design_gate.json","oof_raer_v2_summary",verified,"25/27 (92.6%) on exposed design cases"
C07,"RAER v2 harmful actions were 14/45","evaluation/v2/results_design_v1.0/v2_design_gate.json","oof_raer_v2_summary",verified,"14/45 (31.1%) on exposed invalid design cases"
C08,"RAER v2 mean cost was 0.547","evaluation/v2/results_design_v1.0/v2_design_gate.json","oof_raer_v2_summary",verified,"Mean normalized validation cost 0.547"
C09,"FIXED_0.20 had 18/45 harmful actions and mean cost 0.800","evaluation/v2/results_design_v1.0/v2_design_gate.json","fixed_0_20_summary",verified,"Comparator description; not an inferential superiority claim"
C10,"Seven of eight v2 gate criteria passed","evaluation/v2/results_design_v1.0/v2_design_gate.json","criteria",verified,"All except safe completion passed"
C11,"The two false blocks were RB-FIN-04 and RB-PRI-05","evaluation/v2/results_design_v1.0/oof_policy_outcomes.csv","RAER_V2 false_block rows",verified,"Name both cases as explanatory failure analysis"
C12,"Removing the authorization safeguard produced seven authorization harms","evaluation/v2/results_design_v1.0/ablations.csv","V2_NO_AUTHORIZATION_SAFEGUARD row",verified,"Descriptive fitted-design ablation only"
C13,"The held-out labels were not released","evaluation/v2/V2_DESIGN_CLOSURE_MANIFEST_v1.0.json","held_out_labels_accessed and held_out_status",verified,"Held-out partition remained sealed"
C14,"The v2 closure verifies 15 artifacts","evaluation/v2/V2_DESIGN_CLOSURE_MANIFEST_v1.0.json","artifact_count and artifacts",verified,"15 artifacts bound by SHA-256"
C15,"BCEA already combines budgeted evidence acquisition and abstention","https://arxiv.org/abs/2606.16667","abstract",verified,"BCEA is a closest overlap; do not claim generic acquire/abstain novelty"
C16,"RAER is not validated or proven superior","prospective gate and data-boundary records","C05 C06 C10 C13",verified,"Promising descriptive design behavior but failed registered gate"
C17,"No identical complete RAER formulation was located","output/docx/RAER_Research_Protocol_v0.2_Novelty_Audit.docx","Appendix C plus BCEA update",provisional,"Within the screened literature; no global novelty claim"
