source,source_id,doi,title,abstract,published,authors,venue,record_type,cited_by_count,url
OpenAlex,https://openalex.org/W4409796262,10.1109/southeastcon56624.2025.10971563,A Multi-Agent LLM Environment for Software Design and Refactoring: A Conceptual Framework,"Modern software systems demand continuous evolution to maintain performance, scalability, and security. Traditional single-agent AI-driven code refactoring approaches are often limited in addressing the multi-faceted constraints (e.g., performance, security, maintainability) that emerge during complex software design tasks. In this paper, we propose a novel Multi-Agent Large Language Model (LLM) Environment for automated software design and refactoring. Our conceptual framework comprises specialized LLM “experts,” each trained or fine-tuned on a different aspect of software engineering (performance optimization, security hardening, UI/UX, maintainability). These agents collaborate in a cooperative or competitive fashion-using coordination protocols akin to consensus or auction mechanisms-to synthesize design insights and refactoring recommendations. We present formal definitions of agent interactions (including mathematical notation for termination conditions), a sequence diagram demonstrating agent collaboration, a complexity analysis of the coordination mechanism, and an expanded reference list. Preliminary experimental design is outlined to demonstrate how multi-agent interactions may resolve conflicting design goals more effectively than a single-agent approach. Our aim is to provide a roadmap for integrating multi-agent LLMs into the software development lifecycle, thereby improving development efficiency, reducing technical debt, and enhancing software quality.",2025-03-22,Vasanth Rajendran; Dinesh Besiahgari; Sachin C. Patil; Manjunath Chandrashekaraiah; Vishnu Challagulla,,conference-paper,6,https://doi.org/10.1109/southeastcon56624.2025.10971563
OpenAlex,https://openalex.org/W4412047804,10.55524/ijircst.2025.13.4.1,"A Review of Generative AI and DevOps Pipelines: CI/CD, Agentic Automation, MLOps Integration, and LLMs","This paper presents a comprehensive review of Generative AI applications in DevOps automation, covering 50 key research works published between 2023-2025. By synthesizing insights from recent research and industry practice, this paper identifies the top terms, theories, and algorithms shaping the field and offers a forward-looking perspective on the evolution of AI-driven DevOps through 2029. We analyze the transformative impact of AI-driven solutions across the software development lifecycle, including code generation, infrastructure management, continuous integration/delivery, and Kubernetes operations. The present paper is a thorough review of how generative AI and agentic workflows are changing the way modern software systems are developed, deployed, and operated. We look at the introduction of automation in continuous integration and continuous deployment (CI / CD) pipelines using AI / ML, the rise of cloud-native platforms (e.g. Docker and Kubernetes), and the Infrastructure as Code (IaC) and the rise of progressive delivery models. The paper points out the positives of these developments, which consist of efficiency, reliability, and speed of innovation, and also focuses on the issue of security, compliance, observability, and skill development. The review is a systematic study of how generative AI improves the efficiency of deployment, monitoring, and the general development workflow and solves the problem in cloud-native environments. In our analysis, we identified the rising trends in AI agents to use in DevOps, containerized AI applications, and large language models integrated into the existing DevOps toolchains. It is a review article and all the findings mentioned are by their respective authors.",2025-07-01,Satyadhar Joshi,International Journal of Innovative Research in Computer Science & Technology,article,7,https://doi.org/10.55524/ijircst.2025.13.4.1
OpenAlex,https://openalex.org/W4390093000,10.48550/arxiv.2312.13225,Automated DevOps Pipeline Generation for Code Repositories using Large Language Models,"Automating software development processes through the orchestration of GitHub Action workflows has revolutionized the efficiency and agility of software delivery pipelines. This paper presents a detailed investigation into the use of Large Language Models (LLMs) specifically, GPT 3.5 and GPT 4 to generate and evaluate GitHub Action workflows for DevOps tasks. Our methodology involves data collection from public GitHub repositories, prompt engineering for LLM utilization, and evaluation metrics encompassing exact match scores, BLEU scores, and a novel DevOps Aware score. The research scrutinizes the proficiency of GPT 3.5 and GPT 4 in generating GitHub workflows, while assessing the influence of various prompt elements in constructing the most efficient pipeline. Results indicate substantial advancements in GPT 4, particularly in DevOps awareness and syntax correctness. The research introduces a GitHub App built on Probot, empowering users to automate workflow generation within GitHub ecosystem. This study contributes insights into the evolving landscape of AI-driven automation in DevOps practices.",2023-12-20,Deep Mehta; Kartik Rawool; Subodh Gujar; Bowen Xu,arXiv (Cornell University),preprint,2,http://arxiv.org/abs/2312.13225
OpenAlex,https://openalex.org/W4416548195,10.48550/arxiv.2508.00083,A Survey on Code Generation with LLM-based Agents,"Code generation agents powered by large language models (LLMs) are revolutionizing the software development paradigm. Distinct from previous code generation techniques, code generation agents are characterized by three core features. 1) Autonomy: the ability to independently manage the entire workflow, from task decomposition to coding and debugging. 2) Expanded task scope: capabilities that extend beyond generating code snippets to encompass the full software development lifecycle (SDLC). 3) Enhancement of engineering practicality: a shift in research emphasis from algorithmic innovation toward practical engineering challenges, such as system reliability, process management, and tool integration. This domain has recently witnessed rapid development and an explosion in research, demonstrating significant application potential. This paper presents a systematic survey of the field of LLM-based code generation agents. We trace the technology's developmental trajectory from its inception and systematically categorize its core techniques, including both single-agent and multi-agent architectures. Furthermore, this survey details the applications of LLM-based agents across the full SDLC, summarizes mainstream evaluation benchmarks and metrics, and catalogs representative tools. Finally, by analyzing the primary challenges, we identify and propose several foundational, long-term research directions for the future work of the field.",2025-07-31,Yihong Dong; Xue Jiang; Jiaru Qian; Wang Tian; Kechi Zhang; Zhi Jin; Ge Li,arXiv (Cornell University),preprint,1,http://arxiv.org/abs/2508.00083
OpenAlex,https://openalex.org/W7124959249,10.1109/aiware69974.2025.00019,Model-Assisted and Human-Guided: Perceptions and Practices of Software Professionals Using LLMs for Coding,"Large Language Models (LLMs) have quickly become a central component of modern software development workflows, and software practitioners are increasingly integrating LLMs into various stages of the software development lifecycle. Despite the growing presence of LLMs, there is still limited understanding of how these tools are actually used in practice and how professionals perceive their benefits and limitations. This paper presents preliminary findings from a global survey of 131 software practitioners. Our results reveal how LLMs are utilized for various coding-specific tasks. Software professionals report benefits such as increased productivity, reduced cognitive load, and faster learning, but also raise concerns about LLMs' inaccurate outputs, limited context awareness, and associated ethical risks. Most developers treat LLMs as assistive tools rather than standalone solutions, reflecting a cautious yet practical approach to their integration. Our findings provide an early, practitioner-focused perspective on LLM adoption, highlighting key considerations for future research and responsible use in software engineering.",2025-11-19,Italo Santos; Cleyton Ribeiro Magalhães; Ronnie de Souza Santos,,conference-paper,2,https://doi.org/10.1109/aiware69974.2025.00019
OpenAlex,https://openalex.org/W7153564888,10.5281/zenodo.19506964,"AI-First Software Development Lifecycle: An Agent-Driven Framework for Autonomous Planning, Coding, Testing, and Deployment","In the era of automation, society has invested significant effort in automating repetitive processes across various sectors to reduce the manufacturing time of many products. However, we have not given similar attention to automating software development, as it involves complex decision-making, contextual understanding, and requires human expertise and coordination. Historically, most organizations followed the waterfall methodology for the Software Development Life Cycle (SDLC), and in the early 21st century, they rapidly adopted agile methodologies with the expectation of delivering more robust and scalable products within a shorter timeframe. However, human involvement has remained central in all these methodologies until the emergence of Agentic AI. Agentic AI has the potential to transform software development in ways that have not been previously explored. In this paper, we propose an agent-driven SDLC framework that adopts an AI-first approach to software development, where human involvement is limited to governance and decision-making. The framework introduces a Central Orchestrator Agent that coordinates with specialized agents responsible for backlog planning, solution architecture, code generation, automated testing, code review, CI/CD, deployment orchestration, and production monitoring with self-healing capabilities. This AI-first approach can significantly reduce human effort and software release time, maintain high code quality through automated validation, and enable rapid incident response through autonomous hotfix generation and rollback mechanisms.",2026-02-22,Ambar Nath Saha; Debashis Patra,Zenodo (CERN European Organization for Nuclear Research),other,1,https://doi.org/10.5281/zenodo.19506964
OpenAlex,https://openalex.org/W7153076402,10.63282/3050-9262.ijaidsml-v3i3p117,LLM-Based Auto-Remediation Model for DevOps Pipeline Failures,"DevOps pipelines are the backbone of modern software delivery. They make it very easy to quickly, automatically, and continuously integrate and deploy across many other different cloud environments. However, these pipelines often fail because of configuration drifts, dependency mismatches, infrastructure inconsistencies as well as code-level errors. This causes operational bottlenecks that slow down releases along with their require a lot of human intervention. Standard remediation techniques rely heavily on these pre-written scripts, rigid rule-based frameworks, or engineers doing manual diagnostics. These methods often don't work well with the changing nature of toolchains and multi-cloud architectures. Recent progress in Large Language Models (LLMs) could make these pipelines more reliable by using context-aware reasoning, advanced root-cause analysis, and automated solution formulation. This work presents an LLM-based auto-remediation methodology designed to detect pipeline failures, analyze logs, correlate error patterns, provide corrective actions, and when feasible autonomously rectify issues in actual time. The proposed paradigm integrates natural language understanding with DevOps telemetry, source code analysis &amp; configuration verification to connect detection as well as resolution. Experimental evaluations of widely used these CI/CD systems demonstrate substantial improvements in mean time to recovery (MTTR), a reduction in repetitive manual debugging tasks, and enhanced their pipeline dependability, especially in complex cloud-native workflows. The LLM-driven system is better than typical remediation scripts because it can adapt to the latest types of failures without needing to be reprogrammed, provide better information about the context of mistakes, and works well across teams &amp; environments. This study shows how LLMs can change DevOps operations from being reactive to proactive, cut down on interruptions &amp; let engineers focus on coming up with the latest ideas instead of putting out fires. This is a huge step toward self-healing automation in modern software delivery ecosystems.",2022-01-01,Siva Sai Krishna Suryadevara,International Journal of Artificial Intelligence Data Science and Machine Learning,article,1,https://doi.org/10.63282/3050-9262.ijaidsml-v3i3p117
OpenAlex,https://openalex.org/W4416366992,10.1109/ent68818.2025.11245717,Application of Large Language Models in Software Development: Review of the Current State and Development Perspectives,"Large Language Models (LLMs) are rapidly transforming software engineering by automating tasks such as code generation, test creation, debugging, and documentation. Their integration across the software development lifecycle, from requirements analysis to deployment, introduces both unprecedented opportunities and serious challenges. This paper offers a comprehensive review of LLM applications in software engineering, contextualized within the frameworks of LLMOps and DevOps. It examines how specialized models and autonomous agents are reshaping workflows and proposes a framework for assessing organizational readiness for LLM adoption. In addition to technical capabilities, we discuss limitations such as hallucinations, context constraints, and the lack of explainability, as well as broader concerns around licensing, security, and developer deskilling. Drawing from recent research and tooling ecosystems, we synthesize the emerging best practices for safely deploying LLMs in production environments. This article aims to equip practitioners and researchers with a structured understanding of the current state and future direction of LLM-assisted software development.",2025-10-29,Božidar Radenković; Sergei Prokhorov; Miloš Radenković; Александра Лабус,,conference-paper,1,https://doi.org/10.1109/ent68818.2025.11245717
OpenAlex,https://openalex.org/W4412803170,10.1109/icirca65293.2025.11089679,Gemini Powered CI/CD Insights: An AI Agent for Real-Time Pipeline Analysis Using Natural Language Commands,"In today's fast-paced world of software delivery, keeping an eye on everything is more important than ever, especially when it comes to Continuous Integration and Continuous Deployment (CI/CD) pipelines. This paper introduces a cutting-edge AIdriven system that taps into Google's Gemini Model to offer realtime insights into the health and performance of a full-stack MERN (MongoDB, Express.js, React, Node.js) application's CI/CD pipeline managed by GitHub Actions. The system automatically collects and analyzes data from GitHub Actions CI/CD logs, cloud server metrics like CPU usage, memory utilization, and network I/O via the Heroku Platform API, as well as website performance data such as page load times and error rates from New Relic. All this information is stored in a MongoDB database and can be accessed through a user-friendly chat interface built on Streamlit, allowing developers and operations teams to ask natural language questions about their system's status. The Gemini Model then processes these inquiries and the relevant data to create easy-to-understand summaries, spot anomalies, and suggest possible root causes and optimizations. Early results show that this system can greatly improve observability, cut down troubleshooting time, and support data-driven decision-making throughout the software development lifecycle.",2025-06-25,Shanmukhi Kairuppala; Druti Tatiparti; Sivani Putta; Krushna Varshitha Kodigudla; AshaJyothi Sirapu,,conference-paper,2,https://doi.org/10.1109/icirca65293.2025.11089679
OpenAlex,https://openalex.org/W4411260111,10.2139/ssrn.5290005,"A Review of Generative AI and DevOps Pipelines: CI/CD, Agentic Automation, MLOps Integration, and Large Language Models",,2025-01-01,Satyadhar Joshi,SSRN Electronic Journal,preprint,1,https://doi.org/10.2139/ssrn.5290005
